NAME,UPCOMING,PURCHASE
"Монитор LED 27"" LG 27UP850K-W (4K IPS, 3840x2160, 1200:1, 5ms, HDR10, 2xHDMI/DP, USB-C, Speakers, White)",5,248.04
"Монитор LED 27"" Samsung Odyssey G5 Gaming G55C S27CG554EU (2K VA Curved, 2560x1440, 165Hz, 1000:1, 1ms, FreeSync Premium, HDR10, HDMI/DP)",10,162.513
"Монитор LED 27"" Samsung ViewFinity S7 S70D LS27D700EAU (4K IPS, 3480x2160, 1000:1, 5ms, HDR10, HDMI/DP)",5,167.193
"Монитор LED 32"" Samsung LS32D700EAUXEN (4K VA, 3840x2160, 16:9, 3000:1, 60Hz, 5ms, HDR10, HDMI/DP, Black)",5,210.5883
"Монитор LED 32"" Samsung LS32DM700UUXEN (4K VA, 3840x2160, 16:9, 3000:1, 60Hz, 4ms, HDMI/USB-C, Tizen OS, Wi-Fi, Speakers, Black)",5,218.7783
"Монитор LED 34"" Philips 346E2LAE/00 (WQHD VA, 3440x1440, 21:9, 3000:1, 100Hz, 1ms, HDMI/DP/USB-C, Speakers, Black)",5,213.993
"Монитор LED 34"" LG 34WP65CP-B (WQHD VA Curved, 3440x1440, 21:9, 3000:1, 160Hz, 5ms, HDR400, HDMI/DP, Speakers, Black)",5,282.438
"Монитор LED 34"" LG 34BA75QE-B (WQHD IPS Curved, 3440x1440, 21:9, 1000:1, 60Hz, 5ms, HDR10, HDMI/DP/USB-C, Speakers, Black)",5,331.11
"Кулер система жидкостного охлаждения Arctic Liquid Freezer III Pro 360 A-RGB Black (Universal socket INTEL, PWM)",10,84.24
"Жесткий диск 2TB Seagate Original ST2000DM008 (3.5"", SATAIII, 7200rpm, 256Mb)",50,52.416
