NAME,UPCOMING,PURCHASE
"Коммуникатор USB-HUB Orico AH-A13-GY-EP-HW (ABS Plastic, USB 3.0 Type-A to 3xUSB 2.0 Type-A Ports)",200,1.8
"Коммуникатор USB-HUB Orico YSZ1-U3-GY-BP (ABS Plastic, USB 3.0 Type-A to 4xUSB 3.0 Type-A Ports)",30,1.29
"Коммуникатор USB-HUB Orico YSA2-U3-GY-BP (ABS Plastic, USB 3.0 Type-A to 2xUSB 3.0 Type-A Ports)",30,2.43
"Коммуникатор USB-HUB Orico YSA7-U3-GY-BP (ABS Plastic, USB 3.0 Type-A to 7xUSB 3.0 Type-A Ports)",20,3.07
"Коммуникатор USB-HUB Orico PAPW4A-U3-015-BK-EP (ABS Plastic, USB 2.0 Type-A to 4xUSB 3.0 Type-A Ports)",40,3.57
"Док-станция Orico PW11-5P-GY-BP (Aluminum Alloy + ABS Plastic, USB-C to 1xUSB-A 3.0; 2xUSB-A 2.0; 1xUSB-C (PD 60W); 1xHDMI (4K@30Hz))",30,7.02
"Док-станция Orico PW11-6P-GY-EP (Aluminum Alloy + ABS Plastic, USB-C to 3xUSB-A 3.0; 1xUSB-C 3.0; 1xUSB-C (PD 100W); 1xHDMI (4K@30Hz))",10,10.71
"Док-станция Orico FAX3-6PCR-GY-EP (Aluminum Alloy + ABS Plastic, USB-C​ to 1xUSB-A 3.0; 2xUSB-A 2.0; 1xUSB-C (PD 60W); 1xHDMI (4K@30Hz))",40,16.71
Док-станция Orico OM28PR-G2-BK-EP (USB-C 3.2 Gen2 to 1xUSB-A 3.2 Gen2; 2xUSB-A 2.0; 1xUSB-C 3.2 Gen2; 1xHDMI (4K@60Hz); 1xUSB-C PD (100W); 1xNVMe/SATA; 1xRJ45​),10,23.8
Подставка для ноутбука/планшета Orico PFB-A21-SV-BP,40,4.86
Подставка для ноутбука/планшета Orico PFB-A24-BK-BP,40,2.07
Подставка для ноутбука/планшета Orico PFB-A24-WH-BP,40,2.07
Подставка для системного блока Orico CPB6-BK-BP,10,5.71
Подставка для системного блока Orico CPB2-BK-BP,10,4.29
Подставка для монитора Orico HSQ-M1-BK-BP,30,5.75
"Адаптер Bluetooth Orico BTA-508-BK-BP (USB, Bluetooth 5.0 + BR/EDR)",100,1.8
"Звуковая карта Orico SC2-BK-BP (USB 2.0, 1 x Microphone port; 1 x 4-pin headset port​; 1 x Earphone port​)",20,3.7
"Кабель Orico CC240-40-15-BK-BP (USB 4.0 Type-C to Type-C, up to 240W, up to 40Gbps​, 1x8K@60Hz or 2x4K@60Hz, 1.5m)",20,7.21
"Кабель Orico CC240-40-10-BK-BP (USB 4.0 Type-C to Type-C, up to 240W, up to 40Gbps​, 1x8K@60Hz or 2x4K@60Hz, 1.0m)",20,6
"Кабель Orico TBZ4-08-GY-BP (Thunderbolt 4, up to 40Gbps, up to 100W, 1x8K@60Hz or 2x4K@60Hz, 0.8m)",10,10.32
"Кабель Orico TBZ4-20-GY-BP (Thunderbolt 4, up to 40Gbps, up to 100W, 1x8K@60Hz or 2x4K@60Hz, 2.0m)",10,14.2
