NAME,QTY,RETAIL,DEALER,CURRENT_COST
Блок питания 1000W Gigabyte GP-UD1000GM PG5 80+ Gold (ATX),3,198.72,178.5,155.83
Блок питания 1300W Gigabyte GP-UD1300GM PG5 80+ Gold (ATX),2,297.82,268,238.26
Блок питания 1300W Seasonic Prime SSR-1300GD 80+ Gold (ATX),2,340.43,307,272.34
Блок питания 300W CrownMicro CM-PSSFX305W SMART PLUS (SFX),5,15.27,9.8,15.27
Блок питания 400W Aerocool CYLON 400 80+ (ATX),1,50.35,43.7,40.28
Блок питания 500W CrownMicro CM-PS500W OEM (ATX),1,23.81,22.5,19.84
Блок питания 500W CrownMicro CM-PS500W OFFICE (ATX),1,21.68,17.5,14.24
Блок питания 550W Xilence XN056 (ATX),1,49.74,39,43.41
Блок питания 600W CrownMicro CM-PS600W PLUS (ATX),2,33.67,30,24.94
Блок питания 600W Deepcool PF600 80+ (ATX),2,50.8,45.5,39.69
Блок питания 600W Thermaltake Smart W3 80+ (ATX 3.1),6,72.3,65.5,57.84
Блок питания 600W Xilence Performance XP600R6 (ATX),9,51.82,45,43.18
Блок питания 650W Aerocool VX-650 PLUS (ATX),1,45.3,41,36.24
Блок питания 650W Cougar Atlas 650 80+ Bronze (ATX),5,68.22,60.5,54.58
Блок питания 650W Thermaltake Toughpower GF A3 GEN 5 80+ Gold (ATX),5,132.82,119.5,106.26
Блок питания 700W Cooler Master MPE-7001-ACAAB 80+ Bronze (ATX),5,73.83,67.5,61.52
Блок питания 700W Deepcool PF700 80+ (ATX),2,55.76,51,45.94
Блок питания 700W Thermaltake Smart W3 80+ (ATX 3.1),4,85.11,77,68.09
Блок питания 700W Thermaltake TR2 S 80+ (ATX),3,69.57,64,55.66
"Блок питания 700W XYZ VOLT 80+ Bronze (ATX, X-PS-VOLTB-PB700)",21,62.47,55.5,44.62
Блок питания 750W Aerocool KCAS PLUS GOLD 750W RGB 80+ (ATX),1,104.35,94,86.74
Блок питания 750W Cougar Atlas 750 80+ Bronze (ATX),3,74.42,65.5,59.54
Блок питания 750W Gigabyte AORUS GP-AP750GM 80+ Gold (ATX),2,149.56,138,123.86
Блок питания 750W Thermaltake Berlin W0750RE 80+ White (ATX3.1),14,87.46,78.8,69.97
Блок питания 750W Thermaltake SMART BX3 80+ Bronze (ATX),13,91.44,84,73.15
"Блок питания 750W XYZ PHANTOM 80+ Bronze (ATX, X-PS-PHANTOM-PBR750)",51,66.38,60,44.25
Блок питания 800W Deepcool PL800D 80+ Bronze (ATX),3,93.53,83,74.82
"Блок питания 850W Cougar Gex Pro 850 80+ Gold (ATX3.1, PCIe 5.1)",3,154.8,144,129
Блок питания 850W Thermaltake Toughpower GT Snow Gen.5 80+ Gold (ATX3.1),1,135.17,122,108.13
"Бумага A4, 500, 80g, Xerox Marathon",1,4.49,4,6.39
Веб-камера Genius Facecam 1000X V2 (с микрофоном),62,15.28,13.8,11.75
"Веб-камера Logitech C920e Full HD (с микрофоном, 960-001360)",4,68.93,64,55.15
"Веб-камера Logitech C925e Full HD (с микрофоном, 960-001076)",4,77.84,72,62.28
Веб-камера Logitech HD Webcam C270 (с микрофоном),154,26.54,23,18.36
Веб-камера Logitech HD Webcam C310 (с микрофоном),2,27.77,25,22.22
Веб-камера Logitech HD Webcam C525 (с микрофоном),4,69.48,60.7,52.96
"Вентилятор для стойки LANBERG AK-1501-B, 120x120x38MM, Black",1,10.41,8.5,6.93
"Видеокарта 12GB Zotac GeForce RTX3060 Gaming Twin Edge (15000MHz, GDDR6, 192bit, HDMI/3xDP)",6,362.69,335,302.24
"Видеокарта 12GB Zotac GeForce RTX5070 SOLID OC (28000MHz, GDDR7, 192bit, HDMI/3xDP)",2,809.44,745,674.53
"Видеокарта 12GB Zotac GeForce RTX5070 Twin Edge (28000MHz, GDDR7, 192bit, HDMI/3xDP)",16,779.9,715,649.92
"Видеокарта 16GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",4,641.95,565.5,513.56
"Видеокарта 1GB Arktek GeForce G210 AKN210D3S1GL1 (460MHz, DDR3, 64bit, VGA/DVI-I/HDMI)",97,33.87,28,19.92
"Видеокарта 2GB Arktek AMD R5 230 AKR230D3S2GL1 (1066MHz, GDDR3, 64bit, VGA/DVI/HDMI)",58,33.71,30,24.08
"Видеокарта 2GB Arktek GeForce GT610 AKN610D3S2GL1 (810MHz, DDR3, 64bit, VGA/DVI-I/HDMI)",49,36.79,33,28.3
"Видеокарта 2GB Arktek GeForce GT730 AKN730D3S2GL1 (810MHz, DDR3, 128bit, LP, VGA/DVI-I/HDMI)",66,55.26,49,40.57
"Видеокарта 2GB Arktek GeForce GT740 AKN740D3S2GL1 (5000MHz, GDDR3, 128bit, VGA/DVI/HDMI)",98,63.13,52,39.54
"Видеокарта 2GB Arktek GeForce GTX750 AKN750D5S2GH1 (5400MHz, DDR5, 128bit, VGA/DVI/HDMI)",30,86.6,77,64.15
"Видеокарта 4GB Arktek AMD RX550 AKR550D5S4GH1 (6000MHz, GDDR5, 128bit, VGA/DVI/HDMI)",31,83.44,77,70.14
"Видеокарта 4GB Arktek GeForce GT1030 AKN1030D4S4GL1 (6008MHz, GDDR4, 64bit, VGA/DVI/HDMI)",11,103.23,95,79.41
"Видеокарта 4GB Arktek GeForce GT740 AKN740D5S4GH1 (5000MHz, GDDR5, 128bit, VGA/DVI/HDMI)",20,83.3,75,61.71
"Видеокарта 8GB Arktek AMD RX580 AKR580D5S8GH1 (GDDR5, 256bit, DVI/HDMI/DP)",48,147.21,125,95.77
"Видеокарта 8GB Zotac GeForce RTX3050 ECO (14000MHz, GDDR6, 128bit, HDMI/3xDP)",27,277.44,259,231.2
"Видеокарта 8GB Zotac GeForce RTX3050 ECO SOLO (14000MHz, GDDR6, 128bit, HDMI/3xDP)",11,272.45,250,227.04
"Видеокарта 8GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",17,553.18,491,445.08
Воздуходувка Lightwave LW-EB01 600W Electric blower,8,10.8,9.7,7.71
"Графический планшет WACOM Intuos S CTL-6100WLE-N Bluetooth (264 x 200 x 8.8 mm, Green)",4,238.79,220,227.42
"Графический планшет WACOM One CTL-472-N (210 x 146 x 8.7 mm, Black, USB)",37,69.11,60,53.16
"Графический планшет WACOM One CTL-472-S (210 x 146 x 8.7 mm, Black, USB)",4,81.44,74,70.82
"Графический планшет WACOM One CTL-672-N (277 x 189 x 8.7 mm, Black, USB)",8,94.22,86,78.52
"Держатель автомобильный для смартфона CrownMicro CMDC-IP5-032 (2xUSB, 2.1A, Black)",9,3.58,1,3.58
Держатель автомобильный для смартфона UGO USM-1082 (Black),63,3.52,2.7,1.53
