NAME,SOLD,COST
"Видеокарта 12GB Zotac GeForce RTX5070 SOLID (28000MHz, GDDR7, 192bit, HDMI/3xDP)",1,726.92
"Видеокарта 12GB Zotac GeForce RTX5070 SOLID OC (28000MHz, GDDR7, 192bit, HDMI/3xDP)",8,795.95
"Видеокарта 12GB Zotac GeForce RTX5070 Twin Edge (28000MHz, GDDR7, 192bit, HDMI/3xDP)",3,776.41
"Видеокарта 12GB Zotac GeForce RTX5070 Twin Edge (28000MHz, GDDR7, 192bit, HDMI/3xDP)",1,715.13
"Видеокарта 16GB Zotac GeForce RTX4070Ti SUPER AMP AIRO (21000MHz, GDDR6X, 256bit, HDMI/3xDP)",2,1006.67
"Видеокарта 16GB Zotac GeForce RTX4070Ti SUPER AMP AIRO (21000MHz, GDDR6X, 256bit, HDMI/3xDP)",2,1018.46
"Видеокарта 16GB Zotac GeForce RTX4070Ti SUPER SOLID (21000MHz, GDDR6X, 256bit, HDMI/3xDP)",2,976.41
"Видеокарта 16GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",8,568.94
"Видеокарта 16GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",8,623.46
"Видеокарта 16GB Zotac GeForce RTX5070 Ti SOLID SFF (28000MHz, GDDR7, 192bit, HDMI/3xDP)",2,1039.4
"Видеокарта 16GB Zotac GeForce RTX5070 Ti SOLID SFF (28000MHz, GDDR7, 192bit, HDMI/3xDP)",8,1103.11
"Видеокарта 1GB Arktek GeForce G210 AKN210D3S1GL1 (460MHz, DDR3, 64bit, VGA/DVI-I/HDMI)",3,27.95
"Видеокарта 2GB Arktek GeForce GT610 AKN610D3S2GL1 (810MHz, DDR3, 64bit, VGA/DVI-I/HDMI)",3,34.55
"Видеокарта 2GB Arktek GeForce GT730 AKN730D3S2GL1 (810MHz, DDR3, 128bit, LP, VGA/DVI-I/HDMI)",2,52.99
"Видеокарта 2GB Arktek GeForce GT730 AKN730D3S2GL1 (810MHz, DDR3, 128bit, LP, VGA/DVI-I/HDMI)",5,48.18
"Видеокарта 2GB Arktek GeForce GT740 AKN740D3S2GL1 (5000MHz, GDDR3, 128bit, VGA/DVI/HDMI)",1,61.54
"Видеокарта 2GB Arktek GeForce GT740 AKN740D3S2GL1 (5000MHz, GDDR3, 128bit, VGA/DVI/HDMI)",1,52.05
"Видеокарта 2GB Arktek GeForce GTX750 AKN750D5S2GH1 (5400MHz, DDR5, 128bit, VGA/DVI/HDMI)",1,85.9
"Видеокарта 2GB Arktek GeForce GTX750 AKN750D5S2GH1 (5400MHz, DDR5, 128bit, VGA/DVI/HDMI)",4,76.95
"Видеокарта 4GB Arktek AMD RX550 AKR550D5S4GH1 (6000MHz, GDDR5, 128bit, VGA/DVI/HDMI)",2,77.18
"Видеокарта 4GB Arktek AMD RX550 AKR550D5S4GH1 (6000MHz, GDDR5, 128bit, VGA/DVI/HDMI)",4,77.23
"Видеокарта 6GB Zotac GeForce RTX3050 SOLO (14000MHz, GDDR6, 96bit, HDMI/3xDP)",60,221.79
"Видеокарта 8GB Arktek AMD RX580 AKR580D5S8GH1 (GDDR5, 256bit, DVI/HDMI/DP)",9,124.84
"Видеокарта 8GB Arktek AMD RX580 AKR580D5S8GH1 (GDDR5, 256bit, DVI/HDMI/DP)",3,140.17
"Видеокарта 8GB Zotac GeForce RTX3050 ECO (14000MHz, GDDR6, 128bit, HDMI/3xDP)",2,268.21
"Видеокарта 8GB Zotac GeForce RTX3050 ECO (14000MHz, GDDR6, 128bit, HDMI/3xDP)",1,258.97
"Видеокарта 8GB Zotac GeForce RTX3050 ECO SOLO (14000MHz, GDDR6, 128bit, HDMI/3xDP)",7,254.93
"Видеокарта 8GB Zotac GeForce RTX3050 ECO SOLO (14000MHz, GDDR6, 128bit, HDMI/3xDP)",11,257.72
"Видеокарта 8GB Zotac GeForce RTX4060 Twin Edge (17000MHz, GDDR6, 128bit, HDMI/3xDP)",17,369.51
"Видеокарта 8GB Zotac GeForce RTX4060 Twin Edge (17000MHz, GDDR6, 128bit, HDMI/3xDP)",15,374.17
"Видеокарта 8GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",1,522.05
"Видеокарта 8GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",2,515.41
"Графический планшет WACOM Intuos Pro L PTH-860-R Bluetooth (430 × 287 × 8 mm, Black)",1,666.41
"Графический планшет WACOM One CTL-472-N (210 x 146 x 8.7 mm, Black, USB)",1,63.08
"Графический планшет WACOM One CTL-672-N (277 x 189 x 8.7 mm, Black, USB)",2,92.49
"Графический планшет WACOM One CTL-672-N (277 x 189 x 8.7 mm, Black, USB)",1,85.9
"Джойстик Genesis NJG-1425 MANGAN 200 (For PC, Wired, USB)",1,11.54
"Джойстик беспроводной Genesis NJG-0739 PV65 (For PS3/PC, Wireless, USB)",1,27.69
"Джойстик беспроводной Genesis NJG-2100 Mangan 400 (For PC/Console, Wireless, USB, Black)",1,32.66
"Джойстик беспроводной Genesis NJG-2102 Mangan 400 (For PC/Console, Wireless, USB, Red)",1,37.44
"Дисковод DVD-RW ASUS DRW-24D5MT/BLK/B/GEN (SATA, 24x/16x, Black)",10,24.35
"Дисковод DVD-RW LG GH24NSD1 (SATA, 24x/16x, Black)",1,22.31
"Дисковод DVD-RW LG GH24NSD1 (SATA, 24x/16x, Black)",1,24.36
"Дисковод DVD-RW LG GH24NSD5 (SATA, 24x/16x, черный)",2,17.7
"Дисковод внешний DVD-RW LG GP57EB40 (USB, 24x/8x, Black)",11,32.56
"Дисковод внешний DVD-RW LG GP57EB40 (USB, 24x/8x, Black)",3,35.64
"Дисковод внешний DVD-RW LG GP57ES40 (USB, 24x/24x, Silver)",1,40.26
"Дисковод внешний DVD-RW LG GP60NB60 (USB, 24x/24x, Black)",13,29.8
"Дисковод внешний DVD-RW LG GP60NB60 (USB, 24x/24x, Black)",5,31.85
"Док-станция HDD Ugreen 50857 (2xSATA, USB 3.0)",12,31.9
"Док-станция Lightwave LW-DOCK-61A (USB-C to 3xUSB-A 3.0; 1xHDMI 4K@30Hz; 1xRJ45 Gigabit, 1xUSB-C PD3.0 100W)",3,27.69
"Жесткий диск 10TB SATAIII SEAGATE ST10000VN000 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",2,300
"Жесткий диск 10TB SATAIII SEAGATE ST10000VN000 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",5,302.31
"Жесткий диск 12TB SATAIII SEAGATE ST12000VN0008 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",4,325.9
"Жесткий диск 16TB SATAIII Seagate Exos X18 ST16000NM000J (3.5"", 7200rpm, 256Mb)",5,283
"Жесткий диск 1TB Seagate Barracuda ST1000LM048 (2.5"", SATAIII, 5400rpm, 128Mb)",5,67.54
"Жесткий диск 1TB Toshiba Surveillance S300 HDWV110UZSVA (3.5"", SATAIII, 7200rpm, 64Mb)",1,60
"Жесткий диск 20TB SATAIII Seagate IronWolf Pro ST20000NT001 (3.5"", 7200rpm, 256Mb)",2,562.82
"Жесткий диск 2TB Seagate Original ST2000DM008 (3.5"", SATAIII, 7200rpm, 256Mb)",3,71.2
"Жесткий диск 2TB Seagate Original ST2000DM008 (3.5"", SATAIII, 7200rpm, 256Mb)",28,73.44
"Жесткий диск 2TB Toshiba P300 HDWD220UZSVA (3.5"", SATAIII, 5400rpm, 128Mb)",4,67.44
"Жесткий диск 2TB Toshiba P300 HDWD220UZSVA (3.5"", SATAIII, 5400rpm, 128Mb)",1,65.13
"Жесткий диск 4TB SATAIII SEAGATE SkyHawk ST4000VX016 (3.5"", SATAIII, 5400rpm, 256MB)",8,107.37
"Жесткий диск 4TB SATAIII SEAGATE ST4000DM004 (3.5"", SATAIII, 5400rpm, 256MB)",6,115.61
"Жесткий диск 4TB SATAIII SEAGATE ST4000DM004 (3.5"", SATAIII, 5400rpm, 256MB)",2,110.13
"Жесткий диск 4TB SATAIII WD WD43PURZ, 5400rpm, 256Mb",1,114.62
"Жесткий диск 4TB SATAIII WD WD43PURZ, 5400rpm, 256Mb",4,128.72
"Жесткий диск 8TB SATAIII SEAGATE ST8000VN004 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",4,225.03
"Жесткий диск внешний 10TB Seagate Expansion STKP10000400 (3.5"", USB 3.1, Black)",2,296.15
"Жесткий диск внешний 12TB Seagate Expansion STKP12000400 (3.5"", USB 3.1, Black)",3,328.55
"Жесткий диск внешний 16TB Seagate One Touch Hub STLC16000400 (3.5"", USB 3.0, Black)",4,470.51
"Жесткий диск внешний 1TB Seagate Expansion STKM1000400 (2.5"", USB 3.0, Black)",4,61.28
"Жесткий диск внешний 1TB Seagate Expansion STKM1000400 (2.5"", USB 3.0, Black)",11,64
"Жесткий диск внешний 2TB Seagate Basic STJL2000400 (2.5"", USB 3.0, Black)",11,83.59
"Жесткий диск внешний 2TB Seagate Basic STJL2000400 (2.5"", USB 3.0, Black)",3,85.21
"Жесткий диск внешний 2TB Seagate Expansion STKM2000400 (2.5"", USB 3.0, Black)",2,86.15
"Жесткий диск внешний 2TB Seagate Expansion STKM2000400 (2.5"", USB 3.0, Black)",11,90.98
"Жесткий диск внешний 2TB Toshiba Canvio Basics HDTB520EK3AA (2.5"", USB 3.0, Black)",3,84.95
"Жесткий диск внешний 4TB Seagate Expansion STKM4000400 (2.5"", USB 3.0, Black)",5,133.33
"Жесткий диск внешний 4TB Seagate Expansion STKM4000400 (2.5"", USB 3.0, Black)",2,123.08
"Жесткий диск внешний 4TB Seagate Expansion STKP4000400 (3.5"", USB 3.0, Black)",3,134.18
"Жесткий диск внешний 4TB Seagate Expansion STKP4000400 (3.5"", USB 3.0, Black)",1,131.03
"Жесткий диск внешний 4TB Toshiba Canvio Basics HDTB540EK3CA (2.5"", USB 3.2, Black)",2,133.33
"Жесткий диск внешний 4TB Toshiba Canvio Basics HDTB540EK3CA (2.5"", USB 3.2, Black)",2,123.59
"Жесткий диск внешний 5TB WD Elements Portable (2.5"", USB 3.0)",3,150
"Жесткий диск внешний 5TB WD Elements Portable (2.5"", USB 3.0)",3,162.38
"Жесткий диск внешний 8TB Seagate One Touch Hub STLC8000400 (3.5"", USB 3.0, Black)",1,214
"Жесткий диск внешний 8TB Seagate One Touch Hub STLC8000400 (3.5"", USB 3.0, Black)",4,215.38
"Жесткий диск Внешний корпус для HDD AgeStar 3UB2P2 (SATA-3, 2.5"", Black, USB 3.0)",4,9.22
"Жесткий диск Внешний корпус для HDD AgeStar SUBCP1 (SATA-3, 2.5"", Black, USB 2.0)",2,7.82
"Жесткий диск внешний корпус для SSD Patriot TXD PV810UPNGM (M.2 NVMe, PCIe3.0, Alluminium, Dark Silver, USB-C)",6,15.39
"Жесткий диск внешний корпус для SSD Patriot TXD PV810UPNGM (M.2 NVMe, PCIe3.0, Alluminium, Dark Silver, USB-C)",1,12.82
"Жесткий диск внешний корпус для SSD Patriot VXD PV860UPRGM (M.2 NVMe, PCIe3.0, Alluminium, RGB, Silver, USB-C)",1,26.15
"Жесткий диск внешний корпус для SSD Ugreen 90264 (M.2 NVMe, PCIe3.0, Black, USB-C)",2,28.21
Зарядное устройство Baseus GaN3 Pro 100W (QC4/PD3.0/Type-C - USB - 220V),6,157.69
Звуковая карта UGO UKD-1085 (USB),1,9.11
"Звуковая карта Ugreen 80864 (1x3.5mm, USB 2.0)",2,8.72
ИБП UPS 1000VA APC BV1000I-GR EASY UPS AVR,7,90.02
ИБП UPS 1000VA APC BV1000I-GR EASY UPS AVR,3,79.49
ИБП UPS 1050VA Lightwave LW UPS 1050,3,46.15
ИБП UPS 1200VA APC BX1200MI-GR Back-UPS AVR,2,227.31
ИБП UPS 1200VA CrownMicro CMU-SP1200EURO USB,2,115.38
ИБП UPS 1200VA CrownMicro CMU-SP1200IEC LCD USB,1,102.82
ИБП UPS 1500VA CrownMicro CMU-SP1500IEC USB,3,121.97
ИБП UPS 2000VA CrownMicro CMU-SP2000COMBO USB,1,147.44
ИБП UPS 650VA APC BV650I-GR EASY UPS AVR,3,68.39
ИБП UPS 650VA CrownMicro CMU-SP650EURO,1,57.44
ИБП UPS 650VA CrownMicro CMU-SP650EURO,1,61.52
ИБП UPS 650VA CrownMicro CMU-SP650EURO USB,1,55.7
ИБП UPS 650VA CrownMicro CMU-SP650IEC USB,1,61.54
ИБП UPS 750VA Lightwave LW UPS 750,1,34.62
ИБП UPS 750VA Lightwave LW UPS 750,5,33.79
ИБП UPS 800VA APC BV800I-GR EASY UPS AVR,2,73.08
ИБП UPS 800VA APC BV800I-GR EASY UPS AVR,4,85.22
ИБП UPS 800VA CrownMicro CMU-SP800EURO LCD,2,74.49
ИБП UPS 800VA CrownMicro CMU-SP800EURO LCD,4,67.63
ИБП UPS 800VA CrownMicro CMU-SP800EURO USB,1,68.35
ИБП UPS 850VA Lightwave LW UPS 850,6,44.23
"Игрушка автомобиль UGO SCOUT URC-1172 (1:16, 25KH/H)",1,25.64
Инструмент Crimping Tool Ugreen 10952 (RJ11/12/45 Connector),1,19.49
Инструмент Stripping Tool LANBERG NT-0101 UNIVERSAL STRIPPING TOOL FOR UTP STP TELEFON AND DATA CABLE,2,3.54
Инструмент Stripping Tool LANBERG NT-0101 UNIVERSAL STRIPPING TOOL FOR UTP STP TELEFON AND DATA CABLE,5,1.54
Инструмент набор отверток (10-in-1),1,27.44
"Источник питания Buro BP20A (20000mAh, 10W, 2A, 1xUSB-A/1xUSB-C/1xMicro USB, Black)",2,17.18
Источник питания Lightwave LW-PB-20K-B01 (20000mAh),1,19.23
"Кабель Baseus Cafule CATKLF-ALG1 (Type-C to Type-C, PD2.0 100W, 2m)",6,21.28
"Кабель Baseus CATLYS-C02 (Type-C to Lightning, 2m, White)",12,13.08
"Кабель CrownMicro CMPS-01 Power Cord Adapter (IEC to EURO, 16A, 15cm, black)",5,3.9
"Кабель Genesis NKA-1993 HDMI-HDMI V2.1 8K (PS5/PS4, 3.0M)",1,9.87
Кабель LANBERG CA-C13C-11CC-0018-BK POWER CORD CEE 7/7->IEC 320 C13 1.8M VDE BLACK,25,3.59
Кабель LANBERG CA-C13C-11CC-0018-BK POWER CORD CEE 7/7->IEC 320 C13 1.8M VDE BLACK,21,5.86
Кабель LANBERG CA-C13C-12CC-0018-BK POWER CORD CEE 7/7->IEC 320 C13 1.8M ANGLED RIGHT VDE BLACK,1,4.1
Кабель LANBERG CA-C5CA-15CC-0018-BK POWER CORD LAPTOP (MIKI) IEC 320 C5 1.8M VDE BLACK,10,3.33
Кабель LANBERG CA-C5CA-15CC-0018-BK POWER CORD LAPTOP (MIKI) IEC 320 C5 1.8M VDE BLACK,5,3.95
Кабель LANBERG CA-C7CA-10CC-0018-BK POWER SUPPLY EURO (RADIO) CEE 7/16->IEC 320 C7 1.8M BLACK,2,2.03
Кабель LANBERG CA-CMHD-10CU-0010-BK USB-C(M)->HDMI(M) CABLE 1M 4K 60HZ BLACK,1,12.82
Кабель LANBERG CA-CMHD-10CU-0030-BK USB-C(M)->HDMI(M) CABLE 3M 4K 60HZ BLACK,1,15.38
Кабель LANBERG CA-DPDP-10CC-0018-BK DISPLAYPORT M/M 1.8M 4K BLACK,2,7.13
Кабель LANBERG CA-DPDP-10CC-0018-BK DISPLAYPORT M/M 1.8M 4K BLACK,3,5.38
Кабель LANBERG CA-DPDP-10CC-0030-BK DISPLAYPORT M/M 3M 4K BLACK,1,8.35
Кабель LANBERG CA-DPDP-20CU-0018-BK DISPLAYPORT M/M 1.8M 8K 60HZ BLACK,2,8.97
Кабель LANBERG CA-DPHD-11CC-0018-BK DISPLAYPORT(M)->HDMI 1.8M BLACK,19,6.33
Кабель LANBERG CA-DPHD-11CC-0030-BK DISPLAYPORT(M)->HDMI 3M BLACK,1,6.92
Кабель LANBERG CA-DPHD-11CC-0030-BK DISPLAYPORT(M)->HDMI 3M BLACK,5,7.5
Кабель LANBERG CA-DPHD-11CC-0050-BK DISPLAYPORT(M)->HDMI 5M BLACK,10,9.23
Кабель LANBERG CA-DVID-10CC-0018-BK DVI-D(M)(24+1)->DVI-D(M)(24+1) DUAL LINK 1.8M BLACK,7,5.72
"Кабель LANBERG CA-HDDV-20CU-0018-BK HDMI(M)-DVI-D(M) (24+1) 1.8M, DUAL LINK, 4K, Gold Plated, BLACK",5,4.36
"Кабель LANBERG CA-HDDV-20CU-0018-BK HDMI(M)-DVI-D(M) (24+1) 1.8M, DUAL LINK, 4K, Gold Plated, BLACK",2,5.51
Кабель LANBERG CA-HDMI-10CC-0150-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 15M,1,18.97
Кабель LANBERG CA-HDMI-11CC-0005-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 50CM,5,1.54
Кабель LANBERG CA-HDMI-11CC-0005-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 50CM,3,2.05
Кабель LANBERG CA-HDMI-11CC-0018-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 1.8M,50,2.34
Кабель LANBERG CA-HDMI-11CC-0018-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 1.8M,2,2.82
Кабель LANBERG CA-HDMI-11CC-0030-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 3.0M,1,5.13
Кабель LANBERG CA-HDMI-11CC-0030-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 3.0M,1,3.08
Кабель LANBERG CA-HDMI-11CC-0050-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 5M,1,4.1
Кабель LANBERG CA-HDMI-11CC-0050-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 5M,3,4.1
Кабель LANBERG CA-HDMI-20CU-0018-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 1.8M,10,3.08
Кабель LANBERG CA-HDMI-20CU-0018-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 1.8M,3,4.1
"Кабель LANBERG CA-HDMI-20CU-0018-BL HDMI-HDMI V2.0 HIGH SPEED ETHERNET 1.8M, CU, Premium, Black",5,5.9
"Кабель LANBERG CA-HDMI-20CU-0075-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 7.5M, 4K",2,11.15
"Кабель LANBERG CA-HDMI-20CU-0075-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 7.5M, 4K",1,10
"Кабель LANBERG CA-HDMI-20CU-0150-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 15M, 4K",1,37.95
"Кабель LANBERG CA-HDMI-20CU-0200-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 20M, 4K",2,51.03
"Кабель LANBERG CA-HDMI-21CU-0018-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 1.8M, Flat, Black",15,4.27
"Кабель LANBERG CA-HDMI-21CU-0050-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 5M, Flat, Black",1,6.41
"Кабель LANBERG CA-HDMI-21CU-0050-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 5M, Flat, Black",3,6.41
Кабель LANBERG CA-HDMI-30CU-0010-BK HDMI-HDMI V2.1 8K 60Hz BLACK 1M,2,7.69
Кабель LANBERG CA-HDMI-30CU-0010-BK HDMI-HDMI V2.1 8K 60Hz BLACK 1M,4,9.49
Кабель LANBERG CA-HDMI-30CU-0018-BK HDMI-HDMI V2.1 8K 60Hz BLACK 1.8M,4,10.26
Кабель LANBERG CA-HDSA-10CU-0015 POWER SUPPLY MOLEX(F)->SATA(M) 15CM,10,0.77
Кабель LANBERG CA-HDSA-10CU-0015 POWER SUPPLY MOLEX(F)->SATA(M) 15CM,15,0.85
"Кабель LANBERG CA-MJMJ-10CC-0012-BK MINIJACK 3.5MM M/M 3 PIN BLACK, 1.2M",9,0.77
