"Product","Stock","Transit","Sold (30d)","Order Qty","Last Supplier","Last Price","Current Cost","Expected Profit","Margin %","Stock-Out Days","Priority Score","Priority","Sales Period","Transit Time"
"Накопитель SSD M.2 1TB CRUCIAL CT1000P3PSSD8 (M.2 2280 PCI-E, Reading 5000 MB/s, Writing 3600 Mb/s)","5","0","1","0","""Tier Distribution""","$54.23","$73.25","$0.00","0.0%","∞","12.1","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 1TB Kingston FURY Renegade w/Heatsink SFYRSK/1000G (M.2 2280 PCI-E, Reading 7300 MB/s, Writing 6000 Mb/s)","1","0","0","0","""Kosatec""","$116.31","$150.54","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 1TB Kingston SNV3S/1000G NV3 (M.2 2280 PCI-E, Reading 6000 MB/s, Writing 4000 Mb/s)","5","0","0","0","""Kosatec""","$60.46","$77.66","$0.00","0.0%","∞","12.4","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 1TB Patriot P300P1TBM28 P300 (M.2 2280 PCI-E, Reading 2100 MB/s, Writing 1650 Mb/s)","1","0","5","4","""Patriot""","$42.00","$53.87","$0.00","0.0%","5.9","86","CRITICAL","30d","4 weeks (1x)"
"Накопитель SSD M.2 1TB Patriot Viper VP4300-1TBM28H VP4300 (M.2 2280 PCI-E, Reading 7400 MB/s, Writing 5500 Mb/s)","3","0","0","0","Unknown","$0.00","$101.03","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 1TB SAMSUNG 980 MZ-V8V1T0BW (M.2 2280, PCI-E x 4, Reading 3500 MB/s, Writing 3000 Mb/s)","7","0","1","0","""Kosatec""","$78.01","$96.32","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 1TB SAMSUNG EVO MZ-V7S1T0BW 970 EVO Plus (M.2 2280 PCI-E, Reading 3500 MB/s, Writing 3200 Mb/s)","2","0","0","0","""Kosatec""","$77.94","$101.42","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 1TB SAMSUNG MZ-V9P1T0BW 990 PRO (M.2 2280, PCI-E x 4, Reading 7450 MB/s, Writing 6900 Mb/s)","4","0","2","0","""IT Trading""","$128.34","$127.75","$0.00","0.0%","∞","12.8","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 1TB SAMSUNG MZ-V9P1T0CW 990 PRO (M.2 2280, w/Heatsink, PCI-E x 4, Reading 7450 MB/s, Writing 6900 Mb/s)","5","0","0","0","""Kosatec""","$104.94","$140.76","$0.00","0.0%","∞","9.3","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 1TB SAMSUNG MZ-V9S1T0BW 990 EVO Plus (M.2 2280, PCI-E x 5, Reading 7150 MB/s, Writing 6300 Mb/s)","4","0","0","0","""Kosatec""","$78.93","$99.30","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 1TB WD Black SN770 (M.2 2280 PCI-E, Reading 5150 MB/s, Writing 4900 Mb/s)","3","0","0","0","""Kosatec""","$65.47","$82.77","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 1TB WD Black SN850X (M.2 2280 PCI-E, Reading 7300 MB/s, Writing 6300 Mb/s)","3","0","0","0","""Kosatec""","$79.49","$101.81","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 256GB Patriot P300P256GM28 P300 (M.2 2280 PCI-E, Reading 1700 MB/s, Writing 1100 Mb/s)","4","0","41","37","""Patriot""","$24.25","$28.33","$482.60","44.8%","2.9","96","CRITICAL","30d","4 weeks (1x)"
"Накопитель SSD M.2 2TB Patriot P400 (M.2 2280 PCI-E, Reading 7000 MB/s, Writing 4800 Mb/s)","3","0","0","0","""Patriot""","$95.00","$123.06","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 2TB SAMSUNG MZ-V9P2T0BW 990 PRO (M.2 2280, PCI-E x 4, Reading 7450 MB/s, Writing 6900 Mb/s)","7","0","0","0","""Kosatec""","$154.83","$196.03","$0.00","0.0%","∞","10.7","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 2TB SAMSUNG MZ-V9P2T0CW 990 PRO (M.2 2280, PCI-E x 4, Reading 7450 MB/s, Writing 6900 Mb/s)","2","0","0","0","""Kosatec""","$169.51","$217.72","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 2TB SAMSUNG MZ-V9S2T0BW 990 EVO Plus (M.2 2280, PCI-E x 5, Reading 7250 MB/s, Writing 6300 Mb/s)","5","0","0","0","""Kosatec""","$125.24","$160.86","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 2TB WD Black SN770 (M.2 2280 PCI-E, Reading 5150 MB/s, Writing 4850 Mb/s)","2","0","3","1","""Kosatec""","$109.46","$145.45","$34.04","23.4%","20","32.6","MEDIUM","30d","4 weeks (1x)"
"Накопитель SSD M.2 2TB WD Black SN850X (M.2 2280 PCI-E, Reading 7300 MB/s, Writing 6600 Mb/s)","1","0","0","0","""Kosatec""","$141.60","$183.26","$0.00","0.0%","∞","8.6","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 480GB Patriot P310P480GM28 P310 (M.2 2280 PCI-E, Reading 1700 MB/s, Writing 1500 Mb/s)","46","0","0","0","""Patriot""","$23.00","$29.74","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 500GB Kingston SNV3S/500G NV3 (M.2 2280 PCI-E, Reading 6000 MB/s, Writing 3000 Mb/s)","2","0","5","3","""Kosatec""","$32.53","$43.69","$0.00","0.0%","11.8","66","HIGH","30d","4 weeks (1x)"
"Накопитель SSD M.2 500GB WD Black SN770 (M.2 2280 PCI-E, Reading 5000 MB/s, Writing 4000 Mb/s, WDBBDL5000ANC)","2","0","0","0","""Kosatec""","$43.99","$56.60","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 512GB Patriot P300P512GM28 P300 (M.2 2280 PCI-E, Reading 1700 MB/s, Writing 1200 Mb/s)","20","0","1","0","""Patriot""","$24.50","$32.14","$0.00","0.0%","∞","24","NO","30d","4 weeks (1x)"
"Накопитель SSD M.2 512GB Patriot VPR400-512GM28H VPR400 (M.2 2280 PCI-E, RGB, Reading 4600 MB/s, Writing 3600 Mb/s)","2","0","0","0","Unknown","$0.00","$86.07","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Накопитель SSD внешний 1TB Patriot Duo Compact PVP30 PVP301TB28UDG (1000Mbps, USB-A/USB-C, Black)","2","0","1","0","""Patriot""","$56.50","$73.10","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Накопитель SSD внешний 1TB SAMSUNG Portable T7 MU-PC1T0T/WW (2.5"", 1050/1000Mbps, USB 3.2, Grey)","3","0","1","0","""Kosatec""","$90.91","$119.71","$0.00","9.5%","∞","9.7","NO","30d","4 weeks (1x)"
"Накопитель SSD внешний 1TB SanDisk Portable SDSSDE30-1T00-G26 (2.5"", 800Mbps, USB-C, Black)","3","0","0","0","""Tier Distribution""","$68.44","$92.20","$0.00","0.0%","∞","8.6","NO","30d","4 weeks (1x)"
"Накопитель SSD внешний 2TB SAMSUNG Portable T7 MU-PC2T0T/WW (2.5"", 1050/1000Mbps, Touch, USB 3.2, Titan Grey)","3","0","1","0","""Kosatec""","$136.31","$175.50","$0.00","36.8%","∞","13.2","NO","30d","4 weeks (1x)"
"Накопитель SSD внешний 2TB SAMSUNG T5 EVO Portable T5 MU-PH2T0S/EU (2.5"", 460/460Mbps, USB-C, Black)","3","0","1","0","""Tier Distribution""","$117.51","$144.37","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Накопитель SSD внешний 2TB SanDisk Portable SDSSDE30-2T00-G26 (2.5"", 800Mbps, USB-C, Black)","2","0","0","0","""Tier Distribution""","$110.20","$148.46","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Накопитель SSD внешний 512GB Patriot Transporter Lite PTPL512GPEC (2.5"", 1000Mbps, USB-C, Black)","5","0","0","0","""Patriot""","$32.00","$41.57","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"Накопитель SSD внешний 512GB Patriot Transporter PTP512GPEC (2.5"", 1000Mbps, USB-C, Black)","2","0","0","0","""Patriot""","$32.00","$41.85","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Наушники с микрофоном CrownMicro CMGH-101T (Black/Blue, 3.5mm)","1","0","0","0","""CrownMicro""","$6.07","$7.78","$0.00","0.0%","∞","10.7","NO","30d","4 weeks (1x)"
"Наушники с микрофоном CrownMicro CMGH-2001 (Black/Blue, 1x3.5mm + adapter 2x3.5mm)","5","0","0","0","Unknown","$0.00","$10.98","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Наушники с микрофоном CrownMicro CMGH-3101 (Black/Blue, 7.1, USB)","2","0","0","0","""CrownMicro""","$14.31","$19.48","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Наушники с микрофоном CrownMicro CMGH-3102 (Black/Green, 7.1, USB)","3","0","0","0","""CrownMicro""","$14.61","$18.63","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Genesis NSG-0687 H59, Gaming (Mini-Jack)","3","0","0","0","Unknown","$0.00","$15.49","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Genesis NSG-0901 ARGON 200 BLACK-BLUE, Gaming (2xMini-Jack)","7","0","1","0","Unknown","$0.00","$11.69","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Genesis NSG-1107 NEON 360 (Backlight, Vibration, USB)","1","0","1","0","Unknown","$0.00","$20.51","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Genesis NSG-1435 ARGON 100 Black-Green, Gaming (Mini-Jack)","3","0","0","0","""Impakt""","$4.90","$7.54","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Genesis NSG-1437 Argon 110 Black-Red, Gaming (Mini-Jack)","24","0","6","0","Unknown","$0.00","$4.59","$0.00","0.0%","∞","10.7","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Genesis NSG-1578 RADON 300 VIRTUAL 7.1 BLACK-RED, Gaming (USB)","2","0","0","0","Unknown","$0.00","$20.09","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Genesis NSG-1992 RADON 210 BLACK-RED, Gaming (USB)","4","0","0","0","Unknown","$0.00","$17.22","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Genesis NSG-2117 Toron 531 Black, Gaming (Mini-Jack)","9","0","0","0","Unknown","$0.00","$32.34","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Genesis NSG-2307 NEON 613 G2 RGB ILLUMINATION Black, Gaming (Mini-Jack)","49","0","0","0","""Impakt""","$14.29","$22.00","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Logitech G335 Gaming (1x3.5mm/2x3.5mm, Black)","2","0","0","0","""TECHTRADE CIS FZCO""","$40.00","$50.62","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Logitech H110 (3.5mm, Silver)","28","30","5","0","""TLM INTERNATIONAL FZE"" DUBAI","$5.60","$7.88","$0.00","0.0%","∞","24","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Logitech H111 (3.5mm, Gray)","1","30","0","0","""Kosatec""","$7.64","$9.92","$0.00","0.0%","∞","14.9","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Logitech H390 (USB, Black)","1","150","84","0","""TLM INTERNATIONAL FZE"" DUBAI","$19.00","$25.73","$0.00","21.6%","∞","28.5","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Logitech H540 (USB, Black)","1","20","0","0","""Kosatec""","$28.46","$37.06","$0.00","0.0%","∞","10","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Logitech H570E Stereo (USB, Black)","13","0","0","0","""Kosatec""","$29.24","$39.19","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Razer BlackShark V2 X (Gaming, 3.5mm audio jack, Black)","3","0","0","0","""Kosatec""","$37.16","$49.15","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Наушники с микрофоном Razer Kraken X Lite (Gaming, 1.3m, 3.5mm audio jack)","3","0","0","0","""Kosatec""","$26.97","$35.13","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Наушники с микрофоном SVEN AP-010MV (2x3.5mm, Black)","9","0","0","0","""SVEN"" (OOO Regard)","$1.92","$2.45","$0.00","0.0%","∞","10.3","NO","30d","4 weeks (1x)"
"Наушники с микрофоном SVEN AP-151MV (1x3.5mm, Black)","2","10","0","0","""SVEN"" (OOO Regard)","$3.93","$5.03","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"Наушники с микрофоном SVEN AP-320M (1x3.5mm, Black)","10","0","1","0","""SVEN"" (OOO Regard)","$3.77","$5.14","$0.00","49.6%","∞","15.7","NO","30d","4 weeks (1x)"
"Наушники с микрофоном SVEN AP-680MV (2x3.5mm, Black)","6","0","0","0","""SVEN"" (OOO Regard)","$5.14","$6.58","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Наушники с микрофоном беспроводные Genesis NSG-1673 Selen 400 Black-Red, Gaming (USB)","25","0","1","0","Unknown","$0.00","$23.02","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Наушники с микрофоном беспроводные Logitech G435 Lightspeed, Gaming (USB, Black)","3","0","0","0","""Kosatec""","$45.69","$58.87","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Наушники с микрофоном беспроводные Logitech Zone Vibe 100 (Bluetooth, Graphite)","4","0","1","0","""TECHTRADE CIS FZCO""","$70.00","$88.58","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Ноутбук Acer Aspire 5 A515-57-713N 15.6"" (FHD IPS, i7-12650H, 16GB DDR4, 512GB SSD, Intel UHD, Dark Gray, DOS, NX.KN4EX,00X)","2","0","0","0","""TECHTRADE CIS FZCO""","$450.00","$567.82","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Ноутбук ASUS VivoBook 14 X1404VA-I512256 14"" (FHD, Core i5-1334U, 12GB DDR4, 256GB SSD, Intel Graphics, Quiet Blue, Win11)","1","0","2","1","""HAIFA Wholesale"" LLC","$334.99","$423.19","$0.00","0.0%","14.3","50.7","HIGH","30d","4 weeks (1x)"
"Ноутбук ASUS ZenBook 14 OLED UM3402YA-WS74T 14"" (2.8K Touch, Ryzen 7-7730U, 16GB DDR4, 512GB SSD, AMD Radeon, Win 11, Black)","1","0","0","0","""HAIFA Wholesale"" LLC","$689.99","$855.06","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Ноутбук Dell Vostro 3520 (15.6"" FHD, i7 1255U, 8GB DDR4, 512GB SSD, Intel Iris XE, BT, Webcam, Black, DOS)","20","0","0","0","""TECHTRADE CIS FZCO""","$475.00","$604.79","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Ноутбук HP 15-fd1085cl 15.6"" (FHD Touch, Core 5 120U, 12GB, 512GB SSD, Intel Graphics, Black, Windows 11, 9T8G5UA#ABA)","4","0","1","0","""HAIFA Wholesale"" LLC","$404.99","$511.62","$0.00","0.0%","∞","8.6","NO","30d","4 weeks (1x)"
"Ноутбук HP 250 G9 15.6"" (FHD, Core i7 1255U, 8GB DDR4, 512GB SSD, Intel Iris Xe, Silver, DOS, w/Bag)","1","0","0","0","""AL NOORI COMPUTERS (TECHWORLD FZCO)""","$475.00","$596.02","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Ноутбук HP Envy x360 14-es1013dx 14"" (FHD Touch, Core 5 120U, 8GB, 512GB SSD, Natural Silver, Intel Graphics, Windows 11)","5","0","0","0","""Echo Dubai LLC""","$470.00","$587.79","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Ноутбук HP Envy x360 14-fa0013dx 14"" (WUXGA Touch, Ryzen 5 8640HS, 16GB DDR5, 512GB SSD, AMD Radeon, Glacier Silver, Win 11)","2","0","0","0","""HAIFA Wholesale"" LLC","$519.99","$656.89","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Ноутбук HP Victus 15-fa0033dx 15.6"" (FHD IPS 144Hz, Core i5 12450H, 8GB DDR5, 512GB SSD, 4GB RTX 3050, Blue, Windows 11)","5","0","1","0","""HAIFA Wholesale"" LLC","$539.00","$674.70","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Ноутбук HP Victus 16-r0085cl 16.1"" (FHD IPS 144Hz, Core i7 13700H, 16GB DDR5, 1TB SSD, 8GB RTX4070, Mica Silver, Windows 11)","1","0","1","0","""HAIFA Wholesale"" LLC","$1099.99","$1443.12","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Ноутбук HP Victus Gaming 15-fa2013dx 15.6"" (IPS FHD, 144Hz, Core i5 13420H, 8GB DDR4, 512GB SSD, 6GB RTX3050, Silver, Win 11)","1","0","1","0","""HAIFA Wholesale"" LLC","$569.99","$718.96","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Ноутбук HP Victus Gaming 15-fb2063dx 15.6"" (IPS FHD, 144Hz, Ryzen 5 7535HS, 8GB DDR4, 512GB SSD, 4GB RX 6550M, Silver, Win 11)","10","0","0","0","""HAIFA Wholesale"" LLC","$509.99","$643.28","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Ноутбук Lenovo IdeaPad 1 15.6"" (FHD, i3 1215U, 8GB DDR4, 256GB SSD, Intel UHD Graphics, Grey, DOS)","19","0","5","0","""TECHTRADE CIS FZCO""","$260.00","$329.03","$0.00","0.0%","∞","14.9","NO","30d","4 weeks (1x)"
"Ноутбук Lenovo IdeaPad 3 15IAU7 15.6"" (FHD IPS Touch, i7 1255U, 16GB DDR4, 512GB SSD, Intel IRIS XE, Grey, Windows 11)","5","0","0","0","""HAIFA Wholesale"" LLC","$465.00","$586.50","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Ноутбук Lenovo Ideapad L340-15API 15.6"" (HD, Ryzen 3-3200U, 8GB DDR4, 256GB SSD, Vega 3, Grey, DOS)","36","0","1","0","""Komaks""","$215.00","$262.38","$0.00","0.0%","∞","11.4","NO","30d","4 weeks (1x)"
"Ноутбук Lenovo Ideapad Slim 3 15.6"" (FHD Touch, Ryzen 7 7730U, 16GB DDR4, 512GB SSD, Radeon Graphics, Abyss Blue, Windows 11)","1","0","1","0","""HAIFA Wholesale"" LLC","$479.99","$605.44","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Ноутбук Lenovo V15 15.6"" (FHD, i3 1315U, 8GB DDR4, 256GB SSD, Intel UHD, Business Black, DOS, 83A1004SUE)","14","0","4","0","""TECHTRADE CIS FZCO""","$285.00","$359.62","$0.00","0.0%","∞","10.7","NO","30d","4 weeks (1x)"
"Ноутбук Lenovo V15 15.6"" (FHD, i5 13420H, 8GB DDR4, 512GB SSD, Intel HD, Dark Grey, DOS, 83A1008WEU)","27","0","5","0","Unknown","$0.00","$464.73","$0.00","10.3%","∞","14.6","NO","30d","4 weeks (1x)"
"Ноутбук Lenovo V15 15.6"" (FHD, i7 1255U, 16GB DDR4, 512GB SSD, Intel Iris Xe, Dark Grey, DOS)","19","0","6","0","""TECHTRADE CIS FZCO""","$475.00","$601.10","$0.00","-0.2%","∞","10.3","NO","30d","4 weeks (1x)"
"Ноутбук Lenovo V15 15.6"" (FHD, Ryzen 5 7520U, 8GB DDR4, 256GB SSD, AMD Radeon Graphics, Dark Grey, DOS)","11","0","0","0","Unknown","$0.00","$354.59","$0.00","0.0%","∞","8.6","NO","30d","4 weeks (1x)"
"Ноутбук Lenovo V15 G2 IJL 15.6"" (FHD, Celeron N4500, 4GB DDR4, 256GB SSD, Intel UHD Graphics, Black, DOS)","4","0","1","0","""TECHTRADE CIS FZCO""","$185.00","$234.11","$0.00","0.0%","∞","8.6","NO","30d","4 weeks (1x)"
"Ноутбук MSI Katana A15 15.6"" (FHD IPS 144Hz, Ryzen 7 8845HS, 16GB DDR5, 1TB SSD, 8GB RTX4070, Black, Windows 11)","1","0","0","0","Unknown","$0.00","$1514.55","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Ноутбук MSI Modern 15 H AI C1MTG-084 15.6"" (FHD Touch, Core Ultra 9 185H, 32GB, 1TB SSD, Black Backlit, Win 11 Home)","1","0","1","0","""Echo Dubai LLC""","$825.00","$1031.77","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Ноутбук MSI Thin 15 B13UC-1000US 15.6"" (IPS FHD 144Hz, Core i5 13420H, 16GB DDR4, 512GB SSD, 4GB RTX3050, Black, Windows 11)","3","0","0","0","""HAIFA Wholesale"" LLC","$549.99","$694.79","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Ноутбук MSI Thin 15 B13V 15.6"" (FHD, Core i7-13620H, 16GB, 512GB SSD, 6GB RTX 4050, Win 11 Home)","1","0","1","0","""Echo Dubai LLC""","$775.00","$969.24","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Ноутбук MSI Thin 15 B13VE-3023US 15.6"" (FHD 144Hz, Core i5-13420H, 16GB DDR4, 512GB SSD, 6GB RTX4050, Gray, Windows 11)","1","0","1","0","""HAIFA Wholesale"" LLC","$619.99","$783.22","$0.00","8.1%","∞","6.8","NO","30d","4 weeks (1x)"
"Патч-панель LANBERG PPU6-1024-S 24 PORT 1U CAT.6 GRAY","19","0","0","0","Unknown","$0.00","$19.03","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Переходник Ugreen 10396 (Micro USB(M) to USB-A(F), OTG, 15cm, Black)","9","0","0","0","""X-ART""","$0.86","$0.86","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Переходник Ugreen 10739 (3.5mm (M) to 2x3.5mm(F), 20cm, White)","2","0","0","0","""X-ART""","$2.84","$2.84","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Переходник Ugreen 50533 (USB 3.0 to USB Type-C)","4","0","1","0","""X-ART""","$3.63","$3.63","$0.00","62.5%","∞","12.8","NO","30d","4 weeks (1x)"
"Презентационный пульт Logitech R500S (Gray)","2","0","1","0","Unknown","$0.00","$37.56","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Принтер лазерный Canon ImageCLASS LBP6030","1","0","2","1","""TECHTRADE CIS FZCO""","$127.00","$160.76","$0.00","0.0%","14.3","54.9","HIGH","30d","4 weeks (1x)"
"Принтер лазерный HP LaserJet M111a (A4)","7","0","1","0","Unknown","$0.00","$104.78","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Принтер лазерный МФУ Canon imageCLASS MF3010","52","0","5","0","""TECHTRADE CIS FZCO""","$190.00","$241.01","$0.00","22.3%","∞","17.6","NO","30d","4 weeks (1x)"
"Принтер лазерный МФУ HP LaserJet M141a (A4)","1","0","0","0","Unknown","$0.00","$121.44","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Принтер лазерный МФУ HP LaserJet M236SDN (Принтер/Сканер/Копир, ADF, Duplex, A4)","1","0","0","0","Unknown","$0.00","$258.44","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Принтер лазерный МФУ HP LaserJet Pro 3103fdw (A4)","1","0","1","0","Unknown","$0.00","$328.78","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Принтер лазерный цветной МФУ HP Color Laser 179fnw (A4)","4","0","1","0","""AL NOORI COMPUTERS (TECHWORLD FZCO)""","$241.00","$310.09","$0.00","9.6%","∞","8.6","NO","30d","4 weeks (1x)"
"Принтер струйный МФУ Canon PIXMA MG2540S, A4","3","0","5","2","""TECHTRADE CIS FZCO""","$35.00","$44.16","$0.00","0.0%","17.6","39.6","MEDIUM","30d","4 weeks (1x)"
"Принтер струйный МФУ Canon PIXMA MG2541S, A4","68","0","2","0","""COMPUTER SUPPLIES FZCO"" DUBAI","$29.00","$37.91","$0.00","16.3%","∞","27","NO","30d","4 weeks (1x)"
"Принтер струйный МФУ Canon PIXMA MG2546S, A4","30","0","4","0","""TECHTRADE CIS FZCO""","$33.50","$43.59","$0.00","14.7%","∞","13.3","NO","30d","4 weeks (1x)"
"Принтер струйный МФУ HP DeskJet 2320 (7WN42B, A4, White)","19","0","0","0","""COMPUTER SUPPLIES FZCO"" DUBAI","$29.00","$37.76","$0.00","0.0%","∞","24","NO","30d","4 weeks (1x)"
"Проектор Acer X1226AH (DLP, max 10000h., 4000lm, 20000:1, 1024x768, USB, HDMI, VGA, Component, RCA, Audio In/Out)","3","0","3","0","Unknown","$0.00","$288.18","$0.00","16.3%","30","20.4","NO","30d","4 weeks (1x)"
"Проектор Viewsonic PA503S (DLP, макс 15000ч., 3600lm, 22000:1, макс 800x600, USB, RS-232, HDMI, 2xVGA, Audio In/Out)","18","0","1","0","Unknown","$0.00","$344.74","$0.00","0.0%","∞","8.6","NO","30d","4 weeks (1x)"
"Процессор AMD Ryzen 5 5500 (S-AM4, TRAY)","1","0","4","3","""Tier Distribution""","$51.33","$61.71","$0.00","0.0%","7.7","69","HIGH","30d","4 weeks (1x)"
"Процессор AMD Ryzen 5 5600 (S-AM4, TRAY)","4","0","0","0","""Kosatec""","$75.27","$91.85","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Процессор AMD Ryzen 5 5600G (S-AM4, TRAY)","7","0","0","0","""Kosatec""","$106.44","$129.37","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Процессор AMD Ryzen 5 5600X (S-AM4, TRAY)","5","0","3","0","""Kosatec""","$82.92","$102.77","$0.00","0.0%","∞","10.3","NO","30d","4 weeks (1x)"
"Процессор AMD Ryzen 5 7600X (S-AM5, TRAY)","4","0","0","0","""Kosatec""","$172.73","$209.95","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Процессор AMD Ryzen 5 8400F (S-AM5, TRAY)","4","0","1","0","""Kosatec""","$83.32","$100.69","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Процессор AMD Ryzen 7 5700G (S-AM4, TRAY)","4","0","0","0","""Kosatec""","$116.58","$141.95","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"Процессор AMD Ryzen 7 5700X (S-AM4, TRAY)","3","0","2","0","""Kosatec""","$100.71","$122.73","$0.00","0.0%","∞","9.3","NO","30d","4 weeks (1x)"
"Процессор AMD Ryzen 7 7700 (S-AM5, TRAY)","2","0","1","0","""Tier Distribution""","$185.60","$220.36","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"Процессор AMD Ryzen 7 7700X (S-AM5, TRAY)","6","0","0","0","""Kosatec""","$236.48","$286.16","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Процессор AMD Ryzen 7 8700G (S-AM5, BOX)","7","0","0","0","""Kosatec""","$229.19","$276.86","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
