"Product","Stock","Transit","Sold (30d)","Order Qty","Last Supplier","Last Price","Current Cost","Expected Profit","Margin %","Stock-Out Days","Priority Score","Priority","Sales Period","Transit Time"
"Мышь Logitech G403 HERO (Gaming, USB, Black)","3","0","0","0","""TECHTRADE CIS FZCO""","$40.00","$52.37","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-11CC-0030-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 3.0M","8","0","0","0","""Impakt""","$1.39","$2.14","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-11CC-0050-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 5M","1","0","0","0","""Impakt""","$1.62","$2.49","$0.00","0.0%","∞","9.7","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-13CC-0030-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 3.0M BLAСK","1","0","0","0","Unknown","$0.00","$7.00","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-20CU-0018-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 1.8M","8","0","0","0","Unknown","$0.00","$2.29","$0.00","0.0%","∞","11.1","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-20CU-0075-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 7.5M, 4K","19","0","0","0","""Impakt""","$5.41","$8.06","$0.00","0.0%","∞","10","NO","30d","4 weeks (1x)"
"Коврик для мыши Genesis NPG-0659 CARBON 500 L LOGO, Gaming (400x330mm)","1","0","0","0","""Impakt""","$4.49","$6.91","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Коврик для мыши Genesis NPG-0732 CARBON 500 M FIRE, Gaming (300x250mm)","1","0","0","0","Unknown","$0.00","$4.52","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Коврик для мыши Genesis NPG-1859 CARBON 400 M LOGO, Gaming (350x250mm)","6","0","1","0","""Impakt""","$2.86","$4.40","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Коврик для мыши Genesis NPG-1932 POLON 200 XL (500x400mm)","3","0","0","0","""Impakt""","$5.31","$7.97","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Коврик для мыши Natec NPO-1456 Science Maxi, Gaming (800x400mm)","3","0","1","0","""Impakt""","$6.56","$10.10","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Коврик для мыши Natec NPO-1457 Discoveries Maxi (800x400mm)","8","0","0","0","""Impakt""","$6.56","$10.10","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Коврик для мыши Natec NPO-2085 Colors series (Obsidian Black, 300x250mm)","24","0","3","0","Unknown","$0.00","$2.69","$0.00","62.1%","∞","18.1","NO","30d","4 weeks (1x)"
"Коврик для мыши NATEC NPO-2243 World Deep Blue, Gaming (800x400mm)","5","0","3","0","""Impakt""","$6.56","$10.10","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Коврик для мыши SVEN MP-G01S Soldier (Gaming, 230x200x2mm)","15","0","5","0","""SVEN"" (OOO Regard)","$1.48","$2.07","$0.00","0.0%","∞","10","NO","30d","4 weeks (1x)"
"Коврик для мыши Ugreen 25245 (Ergonomic with wrist support)","3","0","0","0","""X-ART""","$4.57","$4.57","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Колонки CrownMicro 2.0 CMS-601 (6W)","3","0","2","0","""CrownMicro""","$4.49","$5.72","$0.00","0.0%","∞","21.5","NO","30d","4 weeks (1x)"
"Колонки Genesis NCS-1408 HELIUM 610 2.1 Gaming (Bluetooth, 60W)","4","0","0","0","""Impakt""","$48.59","$74.81","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Колонки Genesis NCS-1772 HELIUM 800BT 2.1 Gaming (Bluetooth, 60W)","2","0","0","0","""Impakt""","$61.75","$95.07","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Колонки Genius SP-HF180 Black","7","0","8","1","""DG Comp""","$7.84","$7.84","$0.00","0.0%","25.9","33","MEDIUM","30d","4 weeks (1x)"
"Колонки Genius SP-HF180 Wood","6","0","0","0","""DG Comp""","$7.84","$7.84","$0.00","0.0%","∞","10","NO","30d","4 weeks (1x)"
"Колонки Genius SP-HF280 Wood","8","0","2","0","""DG Comp""","$8.38","$8.38","$0.00","0.0%","∞","10.7","NO","30d","4 weeks (1x)"
"Колонки Genius SP-HF380BT Wood","2","0","0","0","""DG Comp""","$15.24","$15.24","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Колонки Logitech 2.0 Z150 (White, USB)","3","0","0","0","""Kosatec""","$21.07","$28.26","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Колонки Logitech Z623 (2.1, THX 200W, Black)","2","0","1","0","""Kosatec""","$119.19","$159.85","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Колонки Oklick 2.0 OK-331 (6W, Black)","1","0","0","0","Unknown","$0.00","$4.20","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Колонки Oklick 2.1 OK-420 (11W, Black)","3","0","0","0","Unknown","$0.00","$8.04","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Колонки SVEN 130 (2.0, 2x3W, USB, Black)","24","0","2","0","""SVEN"" (OOO Regard)","$4.42","$5.96","$0.00","0.0%","∞","22.6","NO","30d","4 weeks (1x)"
"Колонки SVEN 135 (2.0, 2x3W, USB, Black)","27","0","2","0","""SVEN"" (OOO Regard)","$4.81","$6.64","$0.00","0.0%","∞","10.3","NO","30d","4 weeks (1x)"
"Колонки SVEN 312 (2.0, 2x2W, USB, Black)","14","0","0","0","""SVEN"" (OOO Regard)","$5.75","$7.35","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Колонки SVEN SPS-575 (2.0, 2x3W, USB, Black)","5","0","2","0","""SVEN"" (OOO Regard)","$14.62","$18.70","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Колонки SVEN SPS-606 (2.0, 2x3W, USB, Black)","2","0","0","0","""SVEN"" (OOO Regard)","$10.89","$14.58","$0.00","0.0%","∞","10.3","NO","30d","4 weeks (1x)"
"Коммуникатор 10port 10/100/1000 TP-Link TL-SG1210P (8POE+, 1SFP)","1","0","0","0","Unknown","$0.00","$87.54","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Коммуникатор 16port 10/100 TP-Link TL-SF1016D","24","0","10","0","""GRAND PCD FZE"" DUBAI","$15.50","$19.49","$0.00","0.0%","∞","24","NO","30d","4 weeks (1x)"
"Коммуникатор 16port 10/100/1000 TP-Link SG2218P (16G, 2xSFP)","2","0","0","0","""GRAND PCD FZE"" DUBAI","$136.40","$171.50","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Коммуникатор 16port 10/100/1000 TP-Link TL-SG2218 (16G, 2xSFP)","3","0","0","0","Unknown","$0.00","$140.19","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Коммуникатор 24port 10/100 TP-Link TL-SF1024D","6","0","1","0","""GRAND PCD FZE"" DUBAI","$35.70","$43.28","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Коммуникатор 24port 10/100 TP-Link TL-SF1024M (Plastic)","2","0","0","0","Unknown","$0.00","$35.61","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Коммуникатор 24port 10/100/1000 TP-Link TL-SG1024D","8","0","0","0","""GRAND PCD FZE"" DUBAI","$59.50","$76.63","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Коммуникатор 5port 10/100 TP-Link LS1005","39","0","4","0","""GRAND PCD FZE"" DUBAI","$4.80","$6.07","$0.00","0.0%","∞","15.6","NO","30d","4 weeks (1x)"
"Коммуникатор 5port 10/100 TP-Link TL-SF1005P (4xPOE, 67W, Metal)","4","0","0","0","""GRAND PCD FZE"" DUBAI","$22.30","$28.04","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Коммуникатор 5port 10/100/1000 TP-Link LS1005G","41","0","6","0","""Chip""","$13.59","$11.58","$0.00","0.0%","∞","24","NO","30d","4 weeks (1x)"
"Коммуникатор 5port 10/100/1000 TP-Link TL-SG105","26","0","2","0","""GRAND PCD FZE"" DUBAI","$13.00","$16.34","$0.00","0.0%","∞","9.3","NO","30d","4 weeks (1x)"
"Коммуникатор 8port 10/100 TP-Link TL-LS1008","56","0","12","0","""GRAND PCD FZE"" DUBAI","$5.80","$7.78","$0.00","15.3%","∞","19.6","NO","30d","4 weeks (1x)"
"Коммуникатор 8port 10/100 TP-Link TL-SF1008D (Plastic)","13","0","1","0","Unknown","$0.00","$13.65","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Коммуникатор 8port 10/100/1000 TP-Link LS1008G","158","0","9","0","""GRAND PCD FZE"" DUBAI","$13.30","$16.72","$0.00","0.0%","∞","21.2","NO","30d","4 weeks (1x)"
"Коммуникатор 8port 10/100/1000 TP-Link TL-SG1008D","16","0","10","0","""GRAND PCD FZE"" DUBAI","$14.50","$18.23","$0.00","15.4%","∞","14.4","NO","30d","4 weeks (1x)"
"Коммуникатор 8port 10/100/1000 TP-Link TL-SG1008P","7","0","1","0","""GRAND PCD FZE"" DUBAI","$39.40","$50.94","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
