NAME,QTY
"Видеокарта 12GB Zotac GeForce RTX5070 SOLID OC (28000MHz, GDDR7, 192bit, HDMI/3xDP)",2
"Видеокарта 12GB Zotac GeForce RTX5070 Twin Edge (28000MHz, GDDR7, 192bit, HDMI/3xDP)",1
"Видеокарта 16GB Zotac GeForce RTX5070 Ti SOLID SFF (28000MHz, GDDR7, 192bit, HDMI/3xDP)",1
"Видеокарта 1GB Arktek GeForce G210 AKN210D3S1GL1 (460MHz, DDR3, 64bit, VGA/DVI-I/HDMI)",10
"Видеокарта 2GB Arktek AMD R5 230 AKR230D3S2GL1 (1066MHz, GDDR3, 64bit, VGA/DVI/HDMI)",3
"Видеокарта 2GB Arktek GeForce GT610 AKN610D3S2GL1 (810MHz, DDR3, 64bit, VGA/DVI-I/HDMI)",24
"Видеокарта 2GB Arktek GeForce GT740 AKN740D3S2GL1 (5000MHz, GDDR3, 128bit, VGA/DVI/HDMI)",9
"Видеокарта 2GB Arktek GeForce GTX750 AKN750D5S2GH1 (5400MHz, DDR5, 128bit, VGA/DVI/HDMI)",4
"Видеокарта 4GB Arktek AMD RX550 AKR550D5S4GH1 (6000MHz, GDDR5, 128bit, VGA/DVI/HDMI)",1
"Видеокарта 4GB Arktek GeForce GT1030 AKN1030D4S4GL1 (6008MHz, GDDR4, 64bit, VGA/DVI/HDMI)",3
"Видеокарта 4GB Arktek GeForce GT740 AKN740D5S4GH1 (5000MHz, GDDR5, 128bit, VGA/DVI/HDMI)",5
"Видеокарта 8GB Arktek AMD RX580 AKR580D5S8GH1 (GDDR5, 256bit, DVI/HDMI/DP)",8
"Видеокарта 8GB Zotac GeForce RTX3050 ECO (14000MHz, GDDR6, 128bit, HDMI/3xDP)",5
"Видеокарта 8GB Zotac GeForce RTX3050 ECO SOLO (14000MHz, GDDR6, 128bit, HDMI/3xDP)",1
"Видеокарта 8GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",1
Воздуходувка Lightwave LW-EB01 600W Electric blower,2
"Графический планшет WACOM Intuos S CTL-6100WLE-N Bluetooth (264 x 200 x 8.8 mm, Green)",2
"Графический планшет WACOM One CTL-472-N (210 x 146 x 8.7 mm, Black, USB)",3
"Графический планшет WACOM One CTL-472-S (210 x 146 x 8.7 mm, Black, USB)",2
"Графический планшет WACOM One CTL-672-N (277 x 189 x 8.7 mm, Black, USB)",3
"Держатель автомобильный для смартфона CrownMicro CMDC-IP5-032 (2xUSB, 2.1A, Black)",2
Держатель автомобильный для смартфона UGO USM-1082 (Black),5
"Держатель для селфи CrownMicro CMSS-001 (Bluetooth, Black)",2
Держатель для селфи NATEC SF-20W WIRED BLACK,2
"Джойстик Genesis NJG-0773 P58 (For PS3/PC, Wired, USB)",1
"Джойстик Genesis NJG-1425 MANGAN 200 (For PC, Wired, USB)",1
"Джойстик беспроводной Genesis NJG-0692 Mangan PV58 (For PS3/PC, Wireless, USB)",1
"Джойстик беспроводной Genesis NJG-0739 PV65 (For PS3/PC, Wireless, USB)",2
"Джойстик беспроводной Genesis NJG-2100 Mangan 400 (For PC/Console, Wireless, USB, Black)",1
"Джойстик беспроводной Genesis NJG-2102 Mangan 400 (For PC/Console, Wireless, USB, Red)",1
"Джойстик беспроводной Logitech Gamepad F710 (PC, USB, Silver)",1
"Джойстик беспроводной SVEN GC-2040 (For PS3/PC/Android, Wireless, USB)",1
"Джойстик руль Genesis NGK-1566 SEABORG 350 (For PC/PS3, Wired, USB)",1
"Джойстик руль Genesis NGK-1567 SEABORG 400 (For PC/PS3, USB)",1
"Джойстик руль SVEN GC-W300 (For PC, Wired, USB)",1
"Дисковод внешний DVD-RW LG GP57EB40 (USB, 24x/8x, Black)",2
"Дисковод внешний DVD-RW LG GP57ES40 (USB, 24x/24x, Silver)",10
"Дисковод внешний DVD-RW LG GP60NB60 (USB, 24x/24x, Black)",1
Док-станция HDD Natec Kangaroo Dual SATA USB 3.0,1
"Док-станция HDD Ugreen 50857 (2xSATA, USB 3.0)",2
Док-станция Lightwave LW-DOCK-51A (USB-C to 3xUSB-A 3.0; 1xHDMI 4K@30Hz; 1xUSB-C PD3.0 100W),2
"Док-станция Natec FOWLER SLIM (2xUSB 3.0, HDMI 4K, USB-C)",1
"Жесткий диск 1TB Seagate Barracuda ST1000LM048 (2.5"", SATAIII, 5400rpm, 128Mb)",1
"Жесткий диск 2TB Seagate Barracuda ST2000LM015 (2.5"", SATAIII, 5400rpm, 128Mb)",2
"Жесткий диск 2TB Seagate Original ST2000DM008 (3.5"", SATAIII, 7200rpm, 256Mb)",9
"Жесткий диск 2TB Toshiba P300 HDWD220UZSVA (3.5"", SATAIII, 5400rpm, 128Mb)",1
"Жесткий диск 4TB SATAIII SEAGATE SkyHawk ST4000VX016 (3.5"", SATAIII, 5400rpm, 256MB)",1
"Жесткий диск 4TB SATAIII SEAGATE ST4000DM004 (3.5"", SATAIII, 5400rpm, 256MB)",2
"Жесткий диск 4TB SATAIII WD WD43PURZ, 5400rpm, 256Mb",2
"Жесткий диск 8TB SATAIII SEAGATE ST8000VN004 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",3
"Жесткий диск внешний 12TB Seagate Expansion STKP12000400 (3.5"", USB 3.1, Black)",3
"Жесткий диск внешний 16TB Seagate One Touch Hub STLC16000400 (3.5"", USB 3.0, Black)",2
"Жесткий диск внешний 16TB WD My Book WDBBGB0160HBK (3.5"", USB 3.0, Black)",1
"Жесткий диск внешний 1TB Seagate Expansion STKM1000400 (2.5"", USB 3.0, Black)",4
"Жесткий диск внешний 2TB Seagate Expansion STKM2000400 (2.5"", USB 3.0, Black)",2
"Жесткий диск внешний 4TB Seagate Expansion STKM4000400 (2.5"", USB 3.0, Black)",4
"Жесткий диск внешний 4TB Seagate Expansion STKP4000400 (3.5"", USB 3.0, Black)",2
"Жесткий диск внешний 5TB WD Elements Portable (2.5"", USB 3.0)",1
"Жесткий диск Внешний корпус для HDD AgeStar 3UB2P2 (SATA-3, 2.5"", Black, USB 3.0)",1
