Supplier,Category,Brand,Model,Name,Price,Currency,Stock,MOQ,Notes
CROWN,General,Crown Micro,CM-PS400W OEM,"Блок питания CROWN CM-PS400W (20+4in, 80mm FAN, SATA*2, PATA(big Molex)*3, FDD*1, 4+4pin, Lines 1x12V, кабель 1.2м OEM)",9,USD,1,NO,http://www.crown-micro.com/ru/catalog/corporate/power-supplie/cm-ps400_standart/
CROWN,General,Crown Micro,CM-PS450WPRO RTL 1.5,"Блок питания CROWN CM-PS450W PRO (ATX, 450W, 80 PLUS SILVER 89%, APFC 20+4in 500mm, длина корпуса 140мм, FAN120, SATA*6, PATA*6, 4+4pin, 6+2pin PCI-E*4, кабель 1.5м, картонная упаковка)",24,USD,56,NO,http://www.crown-micro.com/ru/catalog/corporate/power-supplie/cm-ps450w-pro/
CROWN,General,Crown Micro,CM-PS500W PRO RTL,"Блок питания CROWN CM-PS500W PRO (ATX, 500W, 80 PLUS SILVER 89%, APFC 20+4in 500mm, длина корпуса 140мм, FAN120, SATA*6, PATA*6, 4+4pin, 6+2pin PCI-E*4, кабель 1.2v, картонная упаковка)",28,USD,19,NO,http://www.crown-micro.com/ru/catalog/corporate/power-supplie/cm-ps500w-pro/
CROWN,General,Crown Micro,CM-PS450WPRO RTL,"Блок питания CROWN CM-PS450W PRO (ATX, 450W, 80 PLUS SILVER 89%, APFC 20+4in 500mm, длина корпуса 140мм, FAN120, SATA*6, PATA*6, 4+4pin, 6+2pin PCI-E*4, кабель 1.2м, картонная упаковка)",49,USD,38,NO,http://www.crown-micro.com/ru/catalog/corporate/power-supplie/cm-ps450w-pro/
CROWN,General,Crown Micro,CM-PS450WPRO OEM 1.5,"Блок питания CROWN CM-PS450W PRO OEM (ATX, 450W, 80 PLUS SILVER 89%, APFC 20+4in 500mm, длина корпуса 140мм, FAN120, SATA*6, PATA*6, 4+4pin, 6+2pin PCI-E*4, кабель 1.5м, картонная упаковка)",33,USD,11,NO,http://www.crown-micro.com/ru/catalog/corporate/power-supplie/cm-ps450w-pro/
CROWN,General,Crown Micro,CM-RING1700,Монтажное кольцо для кулера CM-RING1700 (для кулеров с клипсами на сокет 1700),1,USD,1,NO,
CROWN,General,Crown Micro,CM-80v2,"Кулер CROWN для процессора CM-80 v2 (Для Intel + 1700 и AMD, TDP до 65 Ватт, коннектор 3 pin, Низкая посадка радиатора , Гидродинамический подшипник, Размер: 115*103*42 мм)",3,USD,1,NO,http://www.crown-micro.com/ru/catalog/corporate/cpu/cm-80/
CROWN,General,Crown Micro,CM-90,"Кулер CROWN для процессора CM-90 (Для Intel и AMD,TDP до 95 Ватт, коннектор 3 pin, Низкая посадка радиатора,Гидродинамический подшипник,Размер: 115*110*57 мм)",4,USD,1,NO,http://www.crown-micro.com/ru/catalog/corporate/cpu/cm-90/
CROWN,General,Crown Micro,CM-90v2,"Кулер CROWN для процессора CM-90 v2 (Для Intel +1700 и AMD,TDP до 95 Ватт, коннектор 3 pin, Низкая посадка радиатора,Гидродинамический подшипник,Размер: 115*110*57 мм)",4,USD,1,NO,http://www.crown-micro.com/ru/catalog/corporate/cpu/cm-90/
CROWN,General,Crown Micro,CM-B751TPWM,"Кулер CROWN для процессора CM-B751TPWM( Универсальный сокет для Intel и AMD, безвинтовой крепление, TDP 75 Ватт, коннектор 4 pin,PWM, Высота 28мм, Шариковый подшипник,Размер: 110*94*28 мм)",5,USD,1,NO,http://www.crown-micro.com/ru/catalog/corporate/cpu/CM-B751TPWM/
CROWN,General,Crown Micro,CM-91PWMv2,"Кулер CROWN для процессора CM-91PWM v2 ( Для Intel 115X/1200/1700 и AMD,TDP до 125 Ватт, коннектор 4 pin,PWM, Низкая посадка радиатора,Гидродинамический подшипник,Размер: 115*110*57 мм)",5,USD,1,NO,http://www.crown-micro.com/ru/catalog/corporate/cpu/cm-91pwm/
