Supplier,Category,Brand,Model,Name,Price,Currency,Stock,MOQ,Notes
PROKS,General,,PN,Special offer,0.0,USD,0,NO,Price DAP Worldwide
PROKS,General,,MZ-V8V500BW,Samsung SSD 980 500GB M.2 PCIe 3.0 (NVMe) 3500/3000 MB/s,165.9,USD,180,NO,Price DAP Worldwide
PROKS,General,,CT1000BX500SSD1,"Crucial SSD BX500 2.5"" 1TB SATA Internal SSD 540MB/s",110.9,USD,150,NO,Price DAP Worldwide
PROKS,General,,CT1000P310SSD8,Crucial SSD P310 1TB PCIe Gen4 NVMe 2280 M.2 w/o HS,139.9,USD,150,NO,Price DAP Worldwide
PROKS,General,,CT2K32G48C40S5,Crucial 64GB Kit (32GBx2) DDR5-4800 SODIMM,651.4,USD,5,NO,Price DAP Worldwide
PROKS,General,,100-000001405,AMD Ryzen 5 9600X TRAY,183.8,USD,194,NO,Price DAP Worldwide
PROKS,General,,BX8071514100F,Intel Core i3-14100F 4 Cores 4.7GHz LGA1700,93.2,USD,200,NO,Price DAP Worldwide
PROKS,General,,CM8071505092206,Intel Core i3-14100 4 Cores 4.7GHz LGA1700 TRAY,162.5,USD,236,NO,Price DAP Worldwide
PROKS,General,,ST6000VN006,"Seagate IronWolf 6TB; SATA 6Gb/s; 5400; 256MB; 3.5""",201.1,USD,6,NO,Price DAP Worldwide
PROKS,General,,ST12000NT001 P,"Seagate IronWolf Pro 12TB; SATA 6Gb/s; 256MB; 3.5"" (P)",387.6,USD,40,NO,Price DAP Worldwide
PROKS,General,,ST4000VX016,"Seagate SkyHawk 4TB; SATA 6Gb/s; 256MB; 3.5""",137.7,USD,75,NO,Price DAP Worldwide
PROKS,General,,ST8000VX010,"Seagate SkyHawk 8TB; SATA 6Gb/s; 256MB; 3.5""; RVS",231.3,USD,25,NO,Price DAP Worldwide
PROKS,General,,ST16000VE004,"Seagate SkyHawk AI 16TB; SATA 6Gb/s; 512MB; 3.5""; TR 285MB/s",449.2,USD,20,NO,Price DAP Worldwide
PROKS,General,,ST16000VE005,"Seagate SkyHawk AI 16TB; SATA 6Gb/s; 512MB; 3.5""; TR 240MB/s",430.2,USD,26,NO,Price DAP Worldwide
PROKS,General,,ST20000VE003,"Seagate SkyHawk AI 20TB; SATA 6Gb/s; 512MB; 3.5""; TR 285MB/s",491.8,USD,5,NO,Price DAP Worldwide
PROKS,General,,WD11PURZ,"WD Purple. 3.5"". 1TB. SATA/600. 64MB. 180MB/s",105.4,USD,48,NO,Price DAP Worldwide
PROKS,General,,WD44PURZ,"WD Purple. 3.5"". 4TB. SATA/600. 128MB. 180MB/s",144.7,USD,48,NO,Price DAP Worldwide
PROKS,General,,WDBYVG0010BBK-WESN,WD My Passport 1TB USB 3.0; Black,73.9,USD,50,NO,Price DAP Worldwide
PROKS,General,,WDBYVG0020BBK-WESN,WD My Passport 2TB USB 3.0; Black,90.2,USD,25,NO,Price DAP Worldwide
PROKS,General,,WDBEPK0010BBK-WESN,WD Elements SE 1TB USB 3.0; Black,79.5,USD,30,NO,Price DAP Worldwide
PROKS,General,,WDBEPK0020BBK-WESN,WD Elements SE 2TB USB 3.0; Black,95.8,USD,5,NO,Price DAP Worldwide
PROKS,General,,PN,SAMSUNG SSD,0.0,USD,0,NO,Price DAP Worldwide
PROKS,General,,MZ-77E250B/EU,Samsung SSD 870 EVO 2.5'' 250GB 560/530 MB/s,118.6,USD,60,NO,Price DAP Worldwide
PROKS,General,,MZ-77E500B/EU,Samsung SSD 870 EVO 2.5'' 500GB 560/530 MB/s,156.5,USD,60,NO,Price DAP Worldwide
PROKS,General,,MZ-77E1T0B/EU,Samsung SSD 870 EVO 2.5'' 1TB 560/530 MB/s,206.2,USD,25,NO,Price DAP Worldwide
PROKS,General,,MZ-77E4T0B/EU,Samsung SSD 870 EVO 2.5'' 4TB 560/530 MB/s,516.4,USD,17,NO,Price DAP Worldwide
PROKS,General,,MZ-V8V250BW,Samsung SSD 980 250GB M.2 PCIe 3.0 (NVMe) 3500/3000 MB/s,123.3,USD,60,NO,Price DAP Worldwide
PROKS,General,,MZ-V8V500BW,Samsung SSD 980 500GB M.2 PCIe 3.0 (NVMe) 3500/3000 MB/s,165.9,USD,180,NO,Price DAP Worldwide
PROKS,General,,MZ-V9S1T0BW,Samsung SSD 990 EVO Plus 1TB PCIe 4.0 (NVMe),209.7,USD,120,NO,Price DAP Worldwide
PROKS,General,,MZ-V9S2T0BW,Samsung SSD 990 EVO Plus 2TB PCIe 4.0 (NVMe),279.6,USD,100,NO,Price DAP Worldwide
PROKS,General,,MZ-V9S4T0BW,Samsung SSD 990 EVO Plus 4TB PCIe 4.0 (NVMe),435.9,USD,25,NO,Price DAP Worldwide
PROKS,General,,MZ-V9P1T0BW,Samsung SSD 990 PRO 1TB PCIe 4.0 (NVMe) R7450/W6900 MB/s,209.7,USD,60,NO,Price DAP Worldwide
PROKS,General,,MZ-V9P2T0BW,Samsung SSD 990 PRO 2TB PCIe 4.0 (NVMe) R7450/W6900 MB/s,306.8,USD,120,NO,Price DAP Worldwide
