Supplier,Category,Brand,Model,Name,Price,Currency,Stock,MOQ,Notes
HAIFA,Full list,,NX.JK7AA.003,"Acer Aspire 14"" WUXGA 1920 x 1200 Touchscreen AI Copilot+ PC Intel Core Ultra 9 288V 32GB RAM 1TB SSD WIN 11 Steel Gray A14-52MT-94H5",819.99,USD,50,NO,"Miami, FL"
HAIFA,Full list,,NX.J73AA.001,"Acer Aspire 15 Slim Laptop 15.6"" FHD IPS Display Intel Core 3 N355 Processor 8GB 128GB HD |WIN 11 Silver AG15-32P-39R2",239.99,USD,8,NO,"S.A., Texas"
HAIFA,Full list,,NX.J71AA.002,"Acer Aspire Go Laptop 15.6"" FHD Touchscreen Intel i7-13620H 16GB Memory 512 GB PCIe SSD Windows 11 Pure Silver AG15-71PT-72GA",549.99,USD,9,NO,"S.A., Texas"
HAIFA,Full list,,NX.J71AA.002,"Acer Aspire Go Laptop 15.6"" FHD Touchscreen Intel i7-13620H 16GB Memory 512 GB PCIe SSD Windows 11 Pure Silver AG15-71PT-72GA",549.99,USD,175,NO,"Miami, FL"
HAIFA,Full list,,NX.JJJAA.004,"Acer Aspire Go 15.6"" FHD IPS Touch Screen Laptop AMD Ryzen 5-7520U 8GB RAM 512GB SSD WIN 11 Pure Silver AG15-21PT-R5GQ",339.99,USD,105,NO,"S.A., Texas"
HAIFA,Full list,,NX.JJJAA.004,"Acer Aspire Go 15.6"" FHD IPS Touch Screen Laptop AMD Ryzen 5-7520U 8GB RAM 512GB SSD WIN 11 Pure Silver AG15-21PT-R5GQ",339.99,USD,41,NO,"Miami, FL"
HAIFA,Full list,,NX.DE1AA.001,"Acer Aspire Lite 15.6 FHD Laptop Intel® N150 (6M Cache, up to 3.60 GHz) 4GB RAM 128GB SSD Windows 11 Silver AL15-36P-C0M7",199.99,USD,194,NO,"S.A., Texas"
HAIFA,Full list,,NX.AZ0AA.007,"Acer Chromebook 315 2023 15.6"" FHD Intel Celeron N4500 4GB RAM 64GB eMMC Pure Silver Protective Sleeve Included CB315-4H-C7A1",139.99,USD,150,NO,"S.A., Texas"
HAIFA,Full list,,NX.AZ0AA.007,"Acer Chromebook 315 2023 15.6"" FHD Intel Celeron N4500 4GB RAM 64GB eMMC Pure Silver Protective Sleeve Included CB315-4H-C7A1",139.99,USD,123,NO,"Miami, FL"
HAIFA,Full list,,NT.LGWAA.001,Acer Iconia Tab A8 Tablet Allwinner A523 Octa-Core CPU 4GB LPDDR4 64GB eMMC Wifi-6 Android 14,64.99,USD,6,NO,"S.A., Texas"
HAIFA,Full list,,NT.LGWAA.001,Acer Iconia Tab A8 Tablet Allwinner A523 Octa-Core CPU 4GB LPDDR4 64GB eMMC Wifi-6 Android 14,64.99,USD,70,NO,"Miami, FL"
HAIFA,Full list,,NH.U1PAA.004,Acer Nitro V 15.6” FHD IPS 165Hz Gaming Laptop Intel Core i5-13420H NVIDIA GeForce RTX 5050 8GB GDDR7 16GB RAM 512GB SSD WIN 11 Obsidian Black ANV15-52-57BB,669.99,USD,1,NO,"S.A., Texas"
HAIFA,Full list,,NH.U1PAA.004,Acer Nitro V 15.6” FHD IPS 165Hz Gaming Laptop Intel Core i5-13420H NVIDIA GeForce RTX 5050 8GB GDDR7 16GB RAM 512GB SSD WIN 11 Obsidian Black ANV15-52-57BB,669.99,USD,69,NO,"Miami, FL"
HAIFA,Full list,,NH.U2NAA.001,Acer Nitro V 16 Inches WUXGA IPS 180Hz Gaming Laptop AI PC AMD Ryzen 5 240 Processor NVIDIAGeForce RTX™ 5050 8GB GDDR7 VRAM 16GB RAM 512GB SSD WIN 11 Obsidian Black ANV16-42-R309,699.99,USD,293,NO,"S.A., Texas"
HAIFA,Full list,,NH.U24AA.003,"Acer Nitro V 16S 16” WUXGA IPS 180Hz Gaming Laptop Intel Core 7 processor 240H, VRAM, 16GB RAM, 1TB PCIe Gen 4 SSD NVIDIA GeForce RTX 5060 8GB GDDR7 WIN 11 Obsidian Black",949.99,USD,20,NO,"S.A., Texas"
