Supplier,Category,Brand,Model,Name,Price,Currency,Stock,MOQ,Notes
META,Notebook,ASUS,90NB16I2-M00640,"ASUS Vivobook S16 S3607C (S3607CA-SH079) 16""/FHD/OLED/500 NIT/Ultra 7 255H/16GB DDR5/1TB/Intel Arc/DOS/Matte Gray",1021,USD,1,NO,12
META,Notebook,ASUS,90NB1493-M00B40,"ASUS M5406N (M5406NA-QD164) 14""/WUXGA/OLED/Ryzen 5 7535HS/16GB/SSD512GB/AMD Radeon/Backlit/DOS/Neutral Black",1348,USD,1,NO,12
META,Notebook,ASUS,90NX0871-M00KL0,"ASUS P1403CVA (P1403CVA-S60500) 14""/FHD/WV/i5-13420H/16GB/SSD512GB/Intel UHD/DOS/Misty Grey",623,USD,1,NO,12
META,Notebook,ASUS,90NX08L1-M006P0,"ASUS B3405CCA (B3405CCA-LY0189) 14""/WUXGA/WV/Ultra 5 225H/16GB/SSD512GB/Intel Graphics/Backlit/DOS/Gentle Grey",838,USD,1,NO,12
META,Notebook,ASUS,90NX0861-M005D0,"ASUS P5405CSA (P5405CSA-NZ0147) 14""/WQXGA/WV/144Hz/Ultra 5 226V 16GB/16GB/SSD512GB/Intel Arc/DOS/Misty Grey",916,USD,1,NO,12
META,Notebook,ASUS,90NX0861-M008A0,"ASUS P5405CSA (P5405CSA-NZ0208) 14""/WQXGA/WV/144Hz/Ultra 5 228V 32GB/32GB/SSD1TB/Intel Arc/DOS/Misty Grey",1044,USD,1,NO,12
META,Notebook,ASUS,90NR0JL5-M002W0,"ASUS FA707 (FA707NUR-HX057) 17.3""/FHD/IPS/144Hz/Ryzen 7 7435HS/16GB/SSD1TB/RTX 4050 6GB/DOS/Mecha Gray",1100,USD,1,NO,12
META,Notebook,ASUS,90NR0CC1-M01450,"ASUS G614J (G614JU-N3193) 16""/WUXGA/IPS/165Hz/i5-13450HX/16GB/SSD1TB/RTX 4050 6GB/Backlit/DOS/Eclipse Gray",1300,USD,1,NO,12
META,Notebook,ASUS,90NR0N06-M00DK0,"ASUS FX607V (FX607VU-RL188) 16""/WUXGA/IPS/144Hz/5 210H/16GB DDR5-5600 SO-DIMM/512GB/RTX 4050 6GB/DOS/Mecha Gray",1100,USD,1,NO,12
META,Notebook,ASUS,90NR0MI1-M002W0,"ASUS FX608J (FX608JM-RV048) 16""/WUXGA/IPS/165Hz/i5-13450HX/16GB/SSD512GB/RTX 5060 8GB/Backlit/DOS",1348,USD,1,NO,12
META,Notebook,ASUS,90NR0MJ1-M000M0,"ASUS FX608J (FX608JP-RV014) 16""/WUXGA/IPS/165Hz/i5-13450HX/16GB/SSD1TB/RTX 5070 8GB/Backlit/DOS/Jaeger Gray",1569,USD,1,NO,12
META,Notebook,ASUS,90NR0CS5-M00F60,"ASUS FX707 (FX707VU-HX238) 17.3""/FHD/IPS/144Hz/i7-13620H/16GB/SSD512GBRTX 4050 6GB/Backlit/DOS/Mecha Gray",1218,USD,1,NO,12
META,Notebook,ASUS,90NR0LE1-M002C0,"ASUS G815J (G815JMR-S9050) 18""/2.5K/IPS//240Hz/i9 14900HX/16GB/SSD1TB/RTX 5060 8GB/Backlit/DOS/Eclipse Gray",2180,USD,1,NO,12
META,Notebook,Lenovo,83HR002SRK,"Lenovo IdeaPad Slim 5 14IRH10 (83HR002SRK) 14"" WUXGA OLED 400N/i5-13420H/16GB/SSD512GB/Intel UHD/DOS/Luna Grey",628,USD,1,NO,12
META,Notebook,Lenovo,83J00019RK,"Lenovo IdeaPad Slim 5 14IRH10R (83J00019RK) 14"" WUXGA OLED/5 210H/16GB/SSD1TB/Integrated Intel/DOS/Luna Grey",708,USD,1,NO,12
META,Notebook,Lenovo,83HR002URK,"Lenovo IdeaPad Slim 5 14IRH10 (83HR002URK) 14"" WUXGA OLED /i7-13620H/16GB/SSD512GB/Intel UHD/DOS/Luna Grey",708,USD,1,NO,12
META,Notebook,Lenovo,83J0001ARK,"Lenovo IdeaPad Slim 5 14IRH10R (83J0001ARK) 14"" WUXGA OLED /7 240H/32GB/SSD1TB/Integrated Intel/DOS/Luna Grey",873,USD,1,NO,12
META,Notebook,Lenovo,83E7003MRK,"Lenovo IdeaPad Slim 3 16IRU9 (83E7003MRK) 16"" WUXGA IPS/5 120U/16GB/SSD512GB/Integrated Intel/DOS/Arctic Grey",640,USD,1,NO,12
META,Notebook,Lenovo,83J1001ERK,"Lenovo IdeaPad Slim 5 16IRH10R (83J1001ERK) 16"" 2.8K OLED 120Hz/5 210H/32GB/SSD1TB/Integrated Intel/DOS/Luna Grey",898,USD,1,NO,12
META,Notebook,Lenovo,83J1001FRK,"Lenovo IdeaPad Slim 5 16IRH10R (83J1001FRK) 16"" 2.8K OLED 120Hz/7 240H/32GB/SSD1TB/Integrated Intel/DOS/Luna Grey",985,USD,1,NO,12
META,Notebook,Lenovo,83J1001GRK,"Lenovo IdeaPad Slim 5 16IRH10R (83J1001GRK) 16"" 2.8K OLED 120Hz/7 240H/16GB/SSD1TB/Integrated Intel/DOS/Luna Grey",907,USD,1,NO,12
META,Notebook,Lenovo,21SG008KRT,"Lenovo ThinkBook 14 G8 IRL (21SG008KRT) 14"" WUXGA IPS 300N/5 210H/16GB/SSD512GB/Intel Integrated/Fingerprint/Backlit/DOS/Arctic Grey",808,USD,1,NO,12
META,Notebook,Lenovo,21SG008LRT,"Lenovo ThinkBook 14 G8 IRL (21SG008LRT) 14"" WUXGA IPS 300N/7 240H/16GB/SSD512GB/Intel Integrated/Backlit/Fingerprint/DOS/Arctic Grey",929,USD,1,NO,12
META,Notebook,Lenovo,21MS005KRU,"Lenovo ThinkBook 16 G7 IML (21MS005KRU) 16"" WUXGA IPS/Ultra 5 125U/16GB/SSD512GB//DOS/Arctic Grey",826,USD,1,NO,12
META,Notebook,Lenovo,21SH008LRT,"Lenovo ThinkBook 16 G8 IRL (21SH008LRT) 16"" WUXGA IPS/3 100U/8GB/SSD512GB/Integrated Intel/Fingerprint/Backlit/DOS/Arctic Grey",651,USD,1,NO,12
META,Notebook,Lenovo,21SR0048FW,"Lenovo ThinkPad E16 Gen 3 (21SR0048FW) 16"" WUXGA IPS 300N/Ultra 5 225U/16GB/SSD512GB/Integrated Intel/Fingerprint/Backlit/DOS/Black",1080,USD,1,NO,12
META,Notebook,Lenovo,21JN00MQRT,"Lenovo ThinkPad E16 Gen 1 (21JN00MQRT) 16"" WUXGA IPS /i7-13700H/16GB/SSD1TB/Intel Iris Xe/Backlit/DOS/Graphite Black",907,USD,1,NO,12
META,Notebook,Lenovo,21MA005DRT,"Lenovo ThinkPad E16 Gen 2 (21MA005DRT) 16"" WUXGA IPS/Ultra 7 155H/16GB/SSD512GB/Intel Arc/Fingerprint/Backlit/DOS/Black",1032,USD,1,NO,12
META,Notebook,Lenovo,21SR004TFW,"Lenovo ThinkPad E16 Gen 3 (21SR004TFW) 16"" WUXGA IPS /Ultra 7 255H/32GB/SSD1TB/Intel Arc/Fingerprint/Backlit/DOS/Black",1454,USD,1,NO,12
META,Notebook,Lenovo,21NX0079FW,"Lenovo ThinkPad X1 Carbon Gen 13 (21NX0079FW) 14"" OLED 500N 120Hz/Ultra 7 255U/32GB/SSD1TB/Intel Graphics/Fingerprint/Backlit/Win11Pro/Black",3122,USD,1,NO,36
META,Notebook,Lenovo,21NX00F8FW,"Lenovo ThinkPad X1 Carbon Gen 13 (21NX00F8FW) 14"" WUXGA IPS 500N/Ultra 7 255U/32GB/SSD1TB/Intel Graphics/Fingerprint/Backlit/Win11Pro/Black",2799,USD,1,NO,12
META,Notebook,Lenovo,83GS005DRK,"Lenovo LOQ 15IAX9 (83GS005DRK) 15.6"" FHD IPS 144Hz/i5-12450HX/16GB/SSD512GB/RTX 4050 6GB/Backlit/DOS/Luna Grey",929,USD,1,NO,12
META,Notebook,Lenovo,83GS00E7RK,"Lenovo LOQ 15IAX9 (83GS00E7RK) 15.6"" FHD IPS  144Hz/i5-12450HX/24GB/SSD512GB/RTX 4060 8GB/DOS/Luna Grey",1091,USD,1,NO,12
META,Notebook,Lenovo,83DV00FMRK,"Lenovo LOQ 15IRX9 (83DV00FMRK) 15.6"" WQHD IPS 165Hz/i5-13450HX/16GB/SSD512GB/RTX 3050 6GB/Backlit/DOS/Luna Grey",969,USD,1,NO,12
META,Notebook,Lenovo,83DV009HRK,"Lenovo LOQ 15IRX9 (83DV009HRK) 15.6"" WQHD IPS  165Hz/i5-13450HX/16GB/SSD512GB/RTX 4050 6GB/Backlit/DOS/Luna Grey",1077,USD,1,NO,12
META,Notebook,Lenovo,83F0000GRK,"Lenovo Legion 5 15IAX10 (83F0000GRK) 15.1"" WQXGA OLED  165Hz/Ultra 7 255HX/16GB/SSD512GB/RTX 5060 8GB/Backlit/DOS/Eclipse Black",1488,USD,1,NO,24
META,Monitor,Asus,-,"ASUS 21.45"" VY229HF (16:9, IPS, 100Hz, Adaptive Sync, HDMI, VGA, цвет черный)",136,USD,1,NO,36
META,Monitor,Asus,90LM0560-B04170,Asus VA24EHF,126,USD,1,NO,36
META,Monitor,Asus,90LM05I0-B01970,"ASUS 27"" ROG Strix XG27WQ (16:9 curved 165Hz, FreeSync Premium Pro, 2xHDMI, DP, USB 3.0)",506,USD,1,NO,36
META,Monitor,Asus,90LM05A0-B02370,"ASUS 27"" ROG Strix XG27UQR (16:9 IPS 144Hz, 2xHDMI, DP, USB 3.0)",792,USD,1,NO,36
META,Monitor,Lenovo,64A4MATXEU,"Lenovo 23.8"" ThinkVision T24-40 (16:9, IPS, 120Hz, HAS, HDMI, DP, VGA, 3xUSB-A, USB-C, USB-B)",199,USD,1,NO,36
META,Monitor,Lenovo,64B5KAT1EU,"Lenovo 23.8"" ThinkVision S24-4e (64B5KAT1EU) (16:9, IPS, 100Hz, HDMI, VGA)",112,USD,1,NO,36
META,Monitor,Lenovo,64B3GAT2EU,"Lenovo 27"" ThinkVision P27QD-40  (16:9, IPS, QHD, 120Hz, HAS, HDMI, 2хDP, USB-C)",445,USD,1,NO,36
META,Monitor,Lenovo,64AAGAT2EU,"Lenovo 27"" ThinkVision T27QD-40  (16:9, IPS, QHD, 120Hz, HAS, HDMI, 2хDP, 3хUSB-A, 2хUSB-C)",360,USD,1,NO,36
META,Honor,Honor,,Honor X5c Plus 4GB/128GB Meteor Silver (NLA-LX2P),34800,AMD,1,NO,
META,Honor,Honor,,Honor X5c Plus 4GB/128GB Midnight Black (NLA-LX2P),34800,AMD,1,NO,
META,Honor,Honor,,Honor X6c 6GB/128GB Midnight Black (NIC-LX1),40630,AMD,1,NO,
META,Honor,Honor,,Honor X6c 6GB/128GB Moonlight White (NIC-LX1),40630,AMD,1,NO,
META,Honor,Honor,,Honor X6c 6GB/128GB Ocean Cyan (NIC-LX1),40630,AMD,1,NO,
META,Honor,Honor,,Honor  X6c 6GB/256GB Ocean Cyan (NIC-LX1),44630,AMD,1,NO,
META,Honor,Honor,,Honor X6c 6GB/256GB Midnight Black (NIC-LX1),44630,AMD,1,NO,
META,Honor,Honor,,Honor X6c 6GB/256GB Moonlight White (NIC-LX1),44630,AMD,1,NO,
META,Honor,Honor,,Honor X7c 6GB/128GB Forest Green (ALT-LX1),53650,AMD,1,NO,
META,Honor,Honor,,Honor X7c 6GB/128GB Midnight Black (ALT-LX1),53650,AMD,1,NO,
META,Honor,Honor,,Honor X7c 6GB/128GB Moonlight White (ALT-LX1),53650,AMD,1,NO,
META,Honor,Honor,,Honor X7c 8GB/512GB Forest Green (ALT-LX1),65330,AMD,1,NO,
META,Honor,Honor,,Honor X7c 8GB/512GB Midnight Black (ALT-LX1),65330,AMD,1,NO,
META,Honor,Honor,,Honor X7c 8GB/512GB Moonlight White (ALT-LX1),65330,AMD,1,NO,
META,Honor,Honor,,Honor X8c 8GB/128GB Marrs Green (ABR-LX1),77990,AMD,1,NO,
META,Honor,Honor,,Honor X8c 8GB/128GB Midnight Black (ABR-LX1),77990,AMD,1,NO,
META,Honor,Honor,,Honor X8c 8GB/128GB Moonlight White (ABR-LX1),77990,AMD,1,NO,
META,Honor,Honor,,Honor X8c 8GB/256GB Marrs Green (ABR-LX1),81840,AMD,1,NO,
META,Honor,Honor,,Honor X8c 8GB/256GB Midnight Black (ABR-LX1),81840,AMD,1,NO,
META,Honor,Honor,,Honor X8c 8GB/256GB Moonlight White (ABR-LX1),81840,AMD,1,NO,
META,Honor,Honor,,Honor X9c 8GB/256GB Jade Cyan (BRP-NX1),116000,AMD,1,NO,
META,Honor,Honor,,Honor X7d 6GB/128GB Velvet Black (LGN-LX1),57200,AMD,1,NO,
META,Honor,Honor,,Honor X7d 6GB/128GB Desert Gold (LGN-LX1),57200,AMD,1,NO,
META,Honor,Honor,,Honor X7d 6GB/128GB Meteor Silver (LGN-LX1),57200,AMD,1,NO,
META,Honor,Honor,,Honor X7d 8GB/128GB Desert Gold (LGN-LX1),60200,AMD,1,NO,
META,Honor,Honor,,Honor X7d 8GB/128GB Meteor Silver (LGN-LX1),60200,AMD,1,NO,
META,Honor,Honor,,Honor X7d 8GB/128GB Velvet Black (LGN-LX1),60200,AMD,1,NO,
META,Honor,Honor,,Honor X7d 8GB/256G Velvet Black (LGN-LX1),65230,AMD,1,NO,
META,Honor,Honor,,Honor X7d 8GB/256GB Meteor Silver (LGN-LX1),65230,AMD,1,NO,
META,Honor,Honor,,Honor X9d 12GB/256GB Forest Green (MTN-NX1),124680,AMD,1,NO,
META,Honor,Honor,,Honor X9d 12GB/256GB Midnight Black (MTN-NX1),124680,AMD,1,NO,out of stock
META,Honor,Honor,,Honor X9d 8GB/256GB Forest Green (MTN-NX1),116200,AMD,1,NO,
META,Honor,Honor,,Honor X9d 8GB/256GB Midnight Black (MTN-NX1),116200,AMD,1,NO,out of stock
META,Honor,Honor,,Honor X9d 8GB/256GB Sunrise Gold (MTN-NX1),116200,AMD,1,NO,
META,Honor,Honor,,Honor 200 12GB/512GB Black (ELI-NX9),178000,AMD,1,NO,
META,Honor,Honor,,Honor 200 12GB/512GB Moonlight White (ELI-NX9),178000,AMD,1,NO,
META,Honor,Honor,,Honor 200 8GB/256GB Black (ELI-NX9),162400,AMD,1,NO,
META,Honor,Honor,,Honor 200 8GB/256GB Emerald Green (ELI-NX9),162400,AMD,1,NO,
META,Honor,Honor,,Honor 200 8GB/256GB Moonlight White (ELI-NX9),162400,AMD,1,NO,
META,Honor,Honor,,Honor 400 Lite 8GB/256GB Marrs Green (ABR-NX1),89950,AMD,1,NO,
META,Honor,Honor,,Honor 400 Lite 8GB/256GB Velvet Black (ABR-NX1),89950,AMD,1,NO,
META,Honor,Honor,,Honor 400 Lite 8GB/256GB Velvet Grey (ABR-NX1),89950,AMD,1,NO,
META,Honor,Honor,,Honor 400 8GB/256GB Desert Gold (DNY-NX9),143500,AMD,1,NO,
META,Honor,Honor,,Honor 400 8GB/256GB Midnight Black (DNY-NX9),143500,AMD,1,NO,
META,Honor,Honor,,Honor 400 8GB/256GB Meteor Silver (DNY-NX9),143500,AMD,1,NO,
META,Honor,Honor,,Honor 400 12GB/256GB Meteor Silver (DNY-NX9),147100,AMD,1,NO,out of stock
META,Honor,Honor,,Honor 400 12GB/256GB Desert Gold (DNY-NX9),147100,AMD,1,NO,out of stock
META,Honor,Honor,,Honor 400 12GB/256GB Midnight Black (DNY-NX9),147100,AMD,1,NO,
META,Honor,Honor,,Honor 400 12GB/512GB Desert Gold (DNY-NX9),155200,AMD,1,NO,
META,Honor,Honor,,Honor 400 12GB/512GB Meteor Silver (DNY-NX9),155200,AMD,1,NO,
META,Honor,Honor,,Honor 400 12GB/512GB Midnight Black (DNY-NX9),155200,AMD,1,NO,out of stock
META,Honor,Honor,,Honor 400 Pro 12GB/256GB Midnight Black (DNP-NX9),201400,AMD,1,NO,
META,Honor,Honor,,Honor 400 Pro 12GB/256GB Lunar Grey (DNP-NX9),201400,AMD,1,NO,
META,Honor,Honor,5109BUTL,Honor 400 Pro 12GB/512GB Midnight Black,213300,AMD,1,NO,
META,Honor,Honor,5109BUTM,Honor 400 Pro 12GB/512GB Lunar Grey,213300,AMD,1,NO,
META,Honor,Honor,,Magic6 Pro 12GB/512GB NFC Epi Green (BVL-N49),332510,AMD,1,NO,no RRP
META,Honor,Honor,,Honor Magic V3 12GB/512GB Black (FCP-N49),493000,AMD,1,NO,
META,Honor,Honor,,Honor Magic7 12GB/256GB Black (PTP-N29),281790,AMD,1,NO,
META,Honor,Honor,,Honor Magic7 12GB/256GB Glacier White (PTP-N29),281790,AMD,1,NO,
META,Honor,Honor,,Honor Magic7  12GB/256GB Lunar Shadow (PTP-N29),281790,AMD,1,NO,
META,Honor,Honor,,Honor Magic7 Pro 12GB/512GB Black (PTP-N49),348880,AMD,1,NO,
META,Honor,Honor,,Honor Magic7 Pro 12GB/512GB Breeze Blue (PTP-N49),348880,AMD,1,NO,
