Supplier,Category,Brand,Model,Name,Price,Currency,Stock,MOQ,Notes
PROKS,General,,PN,Special offer,0.0,USD,0,NO,Price DAP Worldwide
PROKS,General,,MZ-V8V500BW,Samsung SSD 980 500GB M.2 PCIe 3.0 (NVMe) 3500/3000 MB/s,166.5,USD,100,NO,Price DAP Worldwide
PROKS,General,,CT1000BX500SSD1,"Crucial SSD BX500 2.5"" 1TB SATA Internal SSD 540MB/s",111.5,USD,150,NO,Price DAP Worldwide
PROKS,General,,CT1000P310SSD8,Crucial SSD P310 1TB PCIe Gen4 NVMe 2280 M.2 w/o HS,141.4,USD,150,NO,Price DAP Worldwide
PROKS,General,,100-100000931BOX,AMD Ryzen 5 8500G BOX,135.5,USD,379,NO,Price DAP Worldwide
PROKS,General,,BX8071514400,Intel Core i5-14400 10 Cores 4.7GHz LGA1700,262.3,USD,53,NO,Price DAP Worldwide
PROKS,General,,ST6000VN006,"Seagate IronWolf 6TB; SATA 6Gb/s; 5400; 256MB; 3.5""",203.3,USD,13,NO,Price DAP Worldwide
PROKS,General,,ST4000VX016,"Seagate SkyHawk 4TB; SATA 6Gb/s; 256MB; 3.5""",140.4,USD,105,NO,Price DAP Worldwide
PROKS,General,,ST8000VX010,"Seagate SkyHawk 8TB; SATA 6Gb/s; 256MB; 3.5""; RVS",233.8,USD,25,NO,Price DAP Worldwide
PROKS,General,,ST16000VE004,"Seagate SkyHawk AI 16TB; SATA 6Gb/s; 512MB; 3.5""; TR 285MB/s",456.4,USD,20,NO,Price DAP Worldwide
PROKS,General,,ST16000VE005,"Seagate SkyHawk AI 16TB; SATA 6Gb/s; 512MB; 3.5""; TR 240MB/s",434.8,USD,26,NO,Price DAP Worldwide
PROKS,General,,ST20000VE003,"Seagate SkyHawk AI 20TB; SATA 6Gb/s; 512MB; 3.5""; TR 285MB/s",500.7,USD,5,NO,Price DAP Worldwide
PROKS,General,,WD11PURZ,"WD Purple. 1TB. SATA 6Gb/s 3.5"". 64MB; 180MB/s",106.4,USD,40,NO,Price DAP Worldwide
PROKS,General,,WD44PURZ,"WD Purple. 4TB. SATA 6Gb/s 3.5"". 128MB; 180MB/s",146.2,USD,60,NO,Price DAP Worldwide
PROKS,General,,WDBYVG0010BBK-WESN,WD My Passport 1TB USB 3.0; Black,76.4,USD,50,NO,Price DAP Worldwide
PROKS,General,,WDBYVG0020BBK-WESN,WD My Passport 2TB USB 3.0; Black,91.4,USD,25,NO,Price DAP Worldwide
PROKS,General,,WDBEPK0010BBK-WESN,WD Elements SE 1TB USB 3.0; Black,81.2,USD,30,NO,Price DAP Worldwide
PROKS,General,,WDBEPK0020BBK-WESN,WD Elements SE 2TB USB 3.0; Black,98.5,USD,5,NO,Price DAP Worldwide
PROKS,General,,PN,SAMSUNG SSD,0.0,USD,0,NO,Price DAP Worldwide
PROKS,General,,MZ-77E250B/EU,Samsung SSD 870 EVO 2.5'' 250GB 560/530 MB/s,118.7,USD,60,NO,Price DAP Worldwide
PROKS,General,,MZ-77E500B/EU,Samsung SSD 870 EVO 2.5'' 500GB 560/530 MB/s,155.8,USD,60,NO,Price DAP Worldwide
PROKS,General,,MZ-77E1T0B/EU,Samsung SSD 870 EVO 2.5'' 1TB 560/530 MB/s,197.7,USD,60,NO,Price DAP Worldwide
PROKS,General,,MZ-77E4T0B/EU,Samsung SSD 870 EVO 2.5'' 4TB 560/530 MB/s,522.0,USD,20,NO,Price DAP Worldwide
PROKS,General,,MZ-V8V250BW,Samsung SSD 980 250GB M.2 PCIe 3.0 (NVMe) 3500/3000 MB/s,118.7,USD,60,NO,Price DAP Worldwide
