Supplier,Category,Brand,Model,Name,Price,Currency,Stock,MOQ,Notes
PHONIX,Laptops,LENOVO,20UN0009US-LCR,LENOVO THINKPAD X1 NANO INTEL CORE I5-1130G7 256GB SSD 8GB DDR4 13 2K (2160X1350) IPS WINDOWS 10 PRO COLOR BLACK. FACTORY REFURBISHED THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES.,469.65,USD,1,1,MOQ 1 | ETA 8 | Conditions REFURBISHED
PHONIX,Laptops,LENOVO,21SH0003US,LENOVO THINKBOOK 16 G8 IRL INTEL CORE 5 210H UP TO 4.8GHZ 512GB SSD 16GB DDR5 INTEGRATED INTEL GRAPHICS 16 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 PRO COLOR ARCTIC GREY,641.99,USD,100,10,MOQ 10 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,83B40008US,LENOVO IDEAPAD 1 15IRU7 INTEL CORE I5-1335U UP TO 4.6GHZ 256GB SSD 16GB DDR4 INTEL IRIS XE GRAPHICS 15.6 FHD (1920X1080) WINDOWS 11 COLOR CLOUD GREY,355.0,USD,30,0,MOQ 0 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,21CCS67100,LENOVO THINKPAD X1 CARBON G10 INTEL CORE I5-1235U 256GB SSD 8GB DDR4 INTEL IRIS XE GRAPHICS 14 2.2K (2240X1400) WINDOWS 11 PRO COLOR BLACK,682.99,USD,6,6,MOQ 6 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,21T9002HUS,LENOVO THINKPAD E14 GEN 7 INTEL CORE 5 210H UP TO 4.80GHZ 512GB SSD 16GB DDR5 INTEGRATED INTEL GRAPHICS 14 WUXGA (1920X1200) WINDOWS 11 PRO COLOR ECLIPSE BLACK,682.99,USD,100,20,MOQ 20 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,83MC0000US,LENOVO SLIM 7 14ILL10 COPILOT INTEL CORE ULTRA 5-226V UP TO 4.5GHZ 1TB SSD 16GB DDR5X INTEGRATED INTEL ARC GRAPHICS 14 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 PRO COLOR LUNA GREY,858.5,USD,45,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,726449633059-R,LENOVO THINKPAD X13 INTEL CORE I5-10310U 512GB SSD 16GB 13.3 FHD (1920X1080) TOUCHSCREEN WINDOWS 11 PRO COLOR BLACK. OFF LEASE REFURBISHED THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES,326.23,USD,45,1,MOQ 1 | ETA 8 | Conditions 3RD PARTY REFURBISHED
PHONIX,Laptops,LENOVO,726449633493-R,LENOVO THINKPAD X13 INTEL CORE I5-10310U 256GB SSD 16GB 13.3 HD (1366X768) WINDOWS 11 PRO COLOR BLACK. OFF LEASE REFURBISHED THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES,295.93,USD,45,1,MOQ 1 | ETA 8 | Conditions 3RD PARTY REFURBISHED
PHONIX,Laptops,LENOVO,20WNS1BB00-R,LENOVO THINKPAD T14S GEN 2 INTEL CORE I5-1145G7 256GB SSD 16GB 14 FHD (1920X1080) WINDOWS 11 PRO COLOR BLACK . OFF LEASE REFURBISHED THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES,303.0,USD,21,1,MOQ 1 | ETA 8 | Conditions 3RD PARTY REFURBISHED
PHONIX,Laptops,LENOVO,T14i51016256-R,LENOVO THINKPAD T14S GEN 1 INTEL CORE I5-10210U 256GB SSD 16GB DDR4 14 (1920X1080) WINDOWS 11 PROCOLOR BLACK. 3RD PARTY REFURBISHED THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES,311.08,USD,180,25,MOQ 25 | ETA 8 | Conditions 3RD PARTY REFURBISHED
