Supplier,Category,Brand,Model,Name,Price,Currency,Stock,MOQ,Notes
CS,KVM-переключатели/USB,D-Link,KVM-221/C1A,KVM-Коммуникатор 2port D-Link KVM-221/RU,15000,AMD,2,NO,8409
CS,Сетевое_оборудование HUB&Switch,LANBERG,SWV-HDMI-0003,"KVM-Коммуникатор 3port LANBERG SWV-HDMI-0003 (3xHDMI, Micro USB, Remote Controller)",4200,AMD,10,NO,15998
CS,Сетевое_оборудование HUB&Switch,D-Link,DKVM-4U/C1A,KVM-Коммуникатор 4port D-Link DKVM-4U/C1A,23500,AMD,2,NO,12017
CS,ИБП 1000VA - 5000VA,SVEN,SV-014889,"Автоматический стабилизатор напряжения SVEN VR-L1500 (500W, 2xCEE7/4+1xІЕС 320)",11700,AMD,2,NO,16734
CS,Сеть/Адаптеры/Bluetooth,Asus,90IG0070-BW0600,"Адаптер Bluetooth Asus USB-BT400 (USB, 10м)",4500,AMD,3,NO,15306
CS,Сеть/Адаптеры/Bluetooth,ASUS,90IG05J0-MO0R00,"Адаптер Bluetooth ASUS USB-BT500 (USB, Bluetooth 5.0+EDR)",5700,AMD,5,NO,17040
CS,Переходники и переключатели,Orico,BTA-508-BK-BP,"Адаптер Bluetooth Orico BTA-508-BK-BP (USB, Bluetooth 5.0 + BR/EDR)",1500,AMD,96,NO,16865
CS,Сеть/Адаптеры/Bluetooth,TP-Link,UB500,"Адаптер Bluetooth TP-Link UB500 (USB, BT 5.0+EDR, 20м)",3800,AMD,15,NO,14991
CS,Сеть/Адаптеры/Bluetooth,Ugreen,45134,"Адаптер Bluetooth Ugreen 45134 (USB, BT 5.4+EDR)",3400,AMD,1,NO,17184
CS,"Кабели и переходники/VGA, DVI, HDMI",Buro,BU-DVI-VGA,Адаптер Buro BU-DVI-VGA DVI-D(M)->VGA(F) BLACK,2700,AMD,1,NO,16284
CS,"Кабели и переходники/VGA, DVI, HDMI",Buro,BU-HDMI(F)-DP(M),"Адаптер Buro BU-HDMI(F)-DP(M) DisplayPort(M) -> HDMI(F), Black",5400,AMD,3,NO,16423
CS,"Кабели и переходники/VGA, DVI, HDMI",Crownmicro,CM000001746,"Адаптер CrownMicro CMU3-20 (2xUSB 3.0, 5.25"", 20pin)",6500,AMD,5,NO,12084
CS,"Кабели и переходники/VGA, DVI, HDMI",CrownMicro,6970963381543,"Адаптер CrownMicro CMU3-21 (2xUSB 3.0, 3.5"", 20pin)",3600,AMD,9,NO,11955
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-0006-BK,Адаптер LANBERG AD-0006-BK DISPLAYPORT MINI(M)->VGA(F) BLACK,2300,AMD,13,NO,11486
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-0007-BK,Адаптер LANBERG AD-0007-BK DISPLAYPORT(M)->DVI-D(F) (24+5) DUAL LINK,2000,AMD,16,NO,11480
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-0009-BK,Адаптер LANBERG AD-0009-BK DISPLAYPORT(M)->HDMI(F) 10CM,1700,AMD,14,NO,11487
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-0015-BK,Адаптер LANBERG AD-0015-BK HDMI-A(F)->MICRO HDMI-D(M),400,AMD,28,NO,11491
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-0019-BK,Адаптер LANBERG AD-0019-BK HDMI-AM->HDMI-AF X2 SPLITTER 20CM,3000,AMD,46,NO,11495
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-0021-BK,Адаптер LANBERG AD-0021-BK VGA(F)+AUDIO 3.5MM JACK->HDMI(M),5400,AMD,2,NO,11500
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-0028-W,Адаптер LANBERG AD-0028-W USB->LPT 1.4M WHITE,2700,AMD,2,NO,11498
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-0033-BK,"Адаптер LANBERG AD-0033-BK HDMI-AM->HDMI-AF (90 degrees, Down)",400,AMD,2,NO,13448
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-0036-BK,"Адаптер LANBERG AD-0036-BK HDMI-AM->HDMI-AF (90 degrees, Right)",500,AMD,41,NO,13449
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-LM-UM-01,Адаптер LANBERG AD-LM-UM-01 MICRO USB 2.0 TYPE-A(M)->TYPE-LIGHTNING(F) (Black),600,AMD,10,NO,13447
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-LM-UM-02,Адаптер LANBERG AD-LM-UM-02 MICRO USB 2.0 TYPE-A(F)->TYPE-LIGHTNING(M) (Black),600,AMD,8,NO,13446
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-OTG-UC-01,"Адаптер LANBERG AD-OTG-UC-01 USB 2.0 TYPE-C(M)->TYPE-A(F) (15cm, Black)",500,AMD,1,NO,13444
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-OTG-UM-01,"Адаптер LANBERG AD-OTG-UM-01 MICRO USB 2.0 TYPE-C(M)->TYPE-A(F) (15cm, Black)",300,AMD,3,NO,13445
CS,"Кабели и переходники/VGA, DVI, HDMI",Lanberg,AD-UC-VG-01,Адаптер LANBERG AD-UC-VG-01 USB TYPE-C->VGA,3600,AMD,9,NO,12890
CS,USB-Hubs,Ugreen,20122,"Адаптер Ugreen 20122 (DVI(24+5)(M) to VGA(F), Black)",1200,AMD,8,NO,16716
CS,"Кабели и переходники/VGA, DVI, HDMI",Ugreen,30843,"Адаптер Ugreen 30843 (USB Type-C (M) -> HDMI(F), VGA(F), White)",9200,AMD,3,NO,16143
CS,"Кабели и переходники/VGA, DVI, HDMI",Ugreen,40259,Адаптер Ugreen 40259 (DVI-D(M) to VGA(F)),4200,AMD,3,NO,15917
CS,"Кабели и переходники/VGA, DVI, HDMI",Genesis,NAG-1390,Адаптер игровой Genesis NAG-1390 TIN 200 FOR XONE/PS4/PS3/SWITCH CONSOLE,3900,AMD,6,NO,12116
CS,Аксессуары/Аккумуляторы,Armac,B/12V/7AH,"Аккумулятор для ИБП Armac 12V, 7AH",5900,AMD,37,NO,14493
CS,Аксессуары/Аккумуляторы,Armac,B/12V/9AH,"Аккумулятор для ИБП Armac 12V, 9AH",7600,AMD,3,NO,15068
CS,Аксессуары/Аккумуляторы,CrownMicro,CM000003024,"Аккумулятор для ИБП CrownMicro 12V, 12AH",11900,AMD,5,NO,15372
CS,Аксессуары/Аккумуляторы,Crownmicro,CM000003025,"Аккумулятор для ИБП CrownMicro 12V, 18AH",18500,AMD,4,NO,15411
CS,Аксессуары/Аккумуляторы,CrownMicro,CM000001652,"Аккумулятор для ИБП CrownMicro 12V, 5.0AH",4400,AMD,4,NO,11845
CS,Аксессуары/Аккумуляторы,Lightwave,LW-12V/12AH,"Аккумулятор для ИБП Lightwave 12V, 12AH",8600,AMD,8,NO,16911
CS,Аксессуары/Аккумуляторы,Lightwave,LW-12V/18AH,"Аккумулятор для ИБП Lightwave 12V, 18AH",13300,AMD,30,NO,16912
CS,Аксессуары/Аккумуляторы,Lightwave,LW 12V/7.5AH,"Аккумулятор для ИБП Lightwave 12V, 7.5AH",5100,AMD,619,NO,16909
CS,Аксессуары/Аккумуляторы,Lightwave,LW-12V/9AH,"Аккумулятор для ИБП Lightwave 12V, 9AH",6300,AMD,375,NO,16910
CS,Аксессуары/Аккумуляторы,Mercury,MERCURY-7.5/12,Аккумулятор для ИБП Mercury 12V-7.5AH,6000,AMD,2,NO,16657
CS,Аксессуары/Аккумуляторы,Mercury,MERCURY-9/12,Аккумулятор для ИБП Mercury 12V-9AH,7400,AMD,1,NO,16658
CS,Аксессуары/Аккумуляторы,Powercom,PM-12-7.2,"Аккумулятор для ИБП Powercom PM-12-7.2 (12V, 7.2AH)",5700,AMD,12,NO,16152
CS,Аксессуары/Аккумуляторы,SVEN,SV-012335,"Аккумулятор для ИБП SVEN SV 1272 12V, 7.2AH",5900,AMD,15,NO,16733
CS,Аксессуары/Аккумуляторы,Contact,KNTKT1200072S48,"Аккумулятор для ИБП Контакт КТ 12-7.2 12V, 7.2AH",4700,AMD,5,NO,16788
CS,Мебель,Genesis,S.00000029,Амортизатор для игровых кресел Genesis Nitro 330/350/370/550/560/770/880/TRIT 600,0,AMD,4,NO,13772
CS,Аксессуары/Аккумуляторы,Verbatim,49924,"Батарейка Verbatim 9V R9 6LR61 (Alkaline, 1pcs Blister)",900,AMD,8,NO,13778
CS,Аксессуары/Аккумуляторы,Verbatim,49532,"Батарейка Verbatim CR2025 (Lithium, 4pcs Blister)",600,AMD,3,NO,15643
CS,Аксессуары/Аккумуляторы,Verbatim,49533,"Батарейка Verbatim CR2032 (Lithium, 4pcs Blister)",700,AMD,10,NO,13777
CS,Аксессуары/Аккумуляторы,Verbatim,LR03,"Батарейка Verbatim LR03 (Alkaline, 4pcs)",600,AMD,2,NO,209
CS,Аксессуары/Аккумуляторы,Verbatim,49874,"Батарейка Verbatim LR03 AAA (Alkaline, 10pcs Blister)",1500,AMD,15,NO,15640
CS,Аксессуары/Аккумуляторы,Verbatim,49920,"Батарейка Verbatim LR03 AAA (Alkaline, 4pcs Blister)",700,AMD,16,NO,13773
CS,Аксессуары/Аккумуляторы,Verbatim,49500,"Батарейка Verbatim LR03 AAA (Alkaline, 4pcs Shrink)",700,AMD,23,NO,13774
CS,Аксессуары/Аккумуляторы,Verbatim,49875,"Батарейка Verbatim LR06 AA (Alkaline, 10pcs Blister)",1700,AMD,11,NO,13775
CS,Аксессуары/Аккумуляторы,Verbatim,49501,"Батарейка Verbatim LR06 AA (Alkaline, 4pcs Shrink)",700,AMD,10,NO,13776
CS,Аксессуары/Аккумуляторы,Verbatim,LR06,"Батарейка Verbatim LR06 AA (Alkaline, 4pcs)",600,AMD,2,NO,12895
CS,Аксессуары/Аккумуляторы,Verbatim,49921,"Батарейка Verbatim LR6 AA (Alkaline, 4pcs Blister)",800,AMD,46,NO,13779
CS,Аксессуары/Аккумуляторы,Verbatim,49514,"Батарейка-аккумулятор Verbatim HR03 AAA (NIMH, 950mah, Blister of 4)",3100,AMD,1,NO,15642
CS,Аксессуары/Аккумуляторы,Verbatim,49517,"Батарейка-аккумулятор Verbatim HR06 AA (NIMH, 2500mah, Blister of 4)",5200,AMD,6,NO,15641
CS,Аксессуары/Разное,Buro,704692,"Беспроводное зарядное устройство для смартфонов Buro Q5 (1.0A, Black)",1100,AMD,1,NO,12244
CS,Аксессуары/Разное,Noname,8000137,Беспроводное зарядное устройство для смартфонов Noname 8000137 (Black),6400,AMD,1,NO,13298
CS,Блоки питания/1000-1500 Watt,Gigabyte,GP-UD1000GM,Блок питания 1000W Gigabyte GP-UD1000GM PG5 80+ Gold (ATX),67800,AMD,1,NO,14808
CS,Блоки питания,Thermaltake,PS-TPT-1000FNFAGE-3,Блок питания 1000W Thermaltake Toughpower GT Gen.5 80+ Gold (ATX3.1),72000,AMD,5,NO,17336
CS,Блоки питания/550-750 Watt,Thermaltake,PS-TPT-1200FNFAGE-3,"Блок питания 1200W Thermaltake Toughpower GT 80+ Gold (ATX3.1, Gen.5)",82800,AMD,5,NO,17136
CS,Блоки питания/1000-1500 Watt,Gigabyte,GP-UD1300GM,Блок питания 1300W Gigabyte GP-UD1300GM PG5 80+ Gold (ATX),102800,AMD,2,NO,15710
CS,Блоки питания/1000-1500 Watt,Seasonic,SSR-1300GD,Блок питания 1300W Seasonic Prime SSR-1300GD 80+ Gold (ATX),118200,AMD,1,NO,15499
CS,Блоки питания/550-750 Watt,CrownMicro,CM000003062,Блок питания 300W CrownMicro CM-PSSFX305W SMART PLUS (SFX),3800,AMD,1,NO,12268
CS,Блоки питания/400-550 Watt,CrownMicro,CM000001923,Блок питания 500W CrownMicro CM-PS500W OFFICE (ATX),6700,AMD,1,NO,11680
CS,Блоки питания/550-750 Watt,Xilence,XP550R7,Блок питания 550W Xilence XN056 (ATX),15000,AMD,1,NO,15121
CS,Блоки питания,Accord,ACC-600W-12,Блок питания 600W Accord ACC-600W-12 (ATX),19800,AMD,2,NO,11625
CS,Блоки питания/550-750 Watt,CrownMicro,CM000003018,Блок питания 600W CrownMicro CM-PS600W PLUS (ATX),11000,AMD,2,NO,12144
CS,Блоки питания/1000-1500 Watt,Thermaltake,PS-SPW-0600NNFAWE-1,Блок питания 600W Thermaltake Smart W3 80+ (ATX 3.1),25200,AMD,4,NO,16487
CS,Блоки питания,Cougar,ATLAS 650,Блок питания 650W Cougar Atlas 650 80+ Bronze (ATX),23700,AMD,2,NO,16451
CS,Блоки питания,Thermaltake,PS-TPD-0650FNFAGE-H,Блок питания 650W Thermaltake Toughpower GF A3 GEN 5 80+ Gold (ATX),46000,AMD,4,NO,16888
CS,Блоки питания/550-750 Watt,Accord,ACC-W700P,Блок питания 700W Accord ACC-W700P 80+ White (ATX),19600,AMD,3,NO,17134
CS,Блоки питания,Thermaltake,PS-TRS-0700NPCWEU-2,Блок питания 700W Thermaltake TR2 S 80+ (ATX),27500,AMD,14,NO,14576
CS,Блоки питания/550-750 Watt,Aerocool,ACPG-KP75FEC.11,Блок питания 750W Aerocool KCAS PLUS GOLD 750W RGB 80+ (ATX),37500,AMD,1,NO,14057
CS,Блоки питания,Cougar,ATLAS 750,Блок питания 750W Cougar Atlas 750 80+ Bronze (ATX),25300,AMD,5,NO,16452
CS,Блоки питания,FSP,4713224529627,Блок питания 750W FSP Hydro K Pro 80+ Bronze (HD2-750),27000,AMD,2,NO,17383
CS,Блоки питания/>750 Watt,Gigabyte,AORUS GP-AP750GM,Блок питания 750W Gigabyte AORUS GP-AP750GM 80+ Gold (ATX),53500,AMD,1,NO,15711
CS,Блоки питания,Thermaltake,W0750RE,Блок питания 750W Thermaltake Berlin W0750RE 80+ White (ATX3.1),30300,AMD,9,NO,16889
CS,Блоки питания,Thermaltake,PS-SPD-0750NNSABE-1,Блок питания 750W Thermaltake SMART BX1 80+ Bronze (ATX),27100,AMD,2,NO,14413
CS,Блоки питания,Thermaltake,PS-SPD-0750NNFABE-3,Блок питания 750W Thermaltake SMART BX3 80+ Bronze (ATX),31800,AMD,9,NO,16890
CS,Блоки питания,Thermaltake,PS-TPT-0750FNFAGE-3,Блок питания 750W Thermaltake Toughpower GT Gen.5 80+ Gold (ATX3.1),43500,AMD,9,NO,16892
CS,Блоки питания/550-750 Watt,XYZ,XYZ-SA-989,"Блок питания 750W XYZ PHANTOM 80+ Bronze (ATX, X-PS-PHANTOM-PBR750)",23100,AMD,26,NO,17088
CS,Блоки питания,FSP,4713224529634,Блок питания 850W FSP Hydro K Pro 80+ Bronze (HD2-850),31200,AMD,2,NO,17384
CS,Блоки питания,Thermaltake,PS-TPD-0850FNFAGE-H,Блок питания 850W Thermaltake Toughpower GF A3 Gen 5 Gold FULL MODULAR (ATX),60800,AMD,4,NO,15861
CS,Блоки питания,Thermaltake,PS-TPT-0850FNFAGE-3,Блок питания 850W Thermaltake Toughpower GT Gen.5 80+ Gold (ATX3.1),48500,AMD,8,NO,16891
CS,Бумага,,P22-833997-12987,"Бумага A4, 500, 80g, Xerox Marathon",1500,AMD,1,NO,12727
CS,Веб-камеры,Genius,32200003400,Веб-камера Genius Facecam 1000X V2 (с микрофоном),5300,AMD,50,NO,12339
CS,Веб-камеры,Logitech,960-001592,"Веб-камера Logitech Brio 105 Full HD (с микрофоном, 960-001592)",14800,AMD,14,NO,16992
CS,Веб-камеры,Logitech,960-001746,"Веб-камера Logitech Brio 4K (Graphite, MS Hello, 960-001746)",63100,AMD,10,NO,17360
CS,Веб-камеры,Logitech,960-001360,"Веб-камера Logitech C920e Full HD (с микрофоном, 960-001360)",24600,AMD,3,NO,16993
CS,Веб-камеры,Logitech,960-001076,"Веб-камера Logitech C925e Full HD (с микрофоном, 960-001076)",27700,AMD,2,NO,16994
CS,Веб-камеры,Logitech,960-001063,Веб-камера Logitech HD Webcam C270 (с микрофоном),8600,AMD,65,NO,10179
CS,Веб-камеры,Logitech,960-001065,Веб-камера Logitech HD Webcam C310 (с микрофоном),10300,AMD,5,NO,11872
CS,Веб-камеры,Logitech,960-000715,Веб-камера Logitech HD Webcam C525 (с микрофоном),23700,AMD,4,NO,13111
CS,Вентиляторы,Lanberg,AK-1501-B,"Вентилятор для стойки LANBERG AK-1501-B, 120x120x38MM, Black",3100,AMD,1,NO,11639
CS,Видеокарты AGP/PCI-Ex,Zotac,ZT-B50700J-10P,"Видеокарта 12GB Zotac GeForce RTX5070 SOLID OC (28000MHz, GDDR7, 192bit, HDMI/3xDP)",289300,AMD,4,NO,16881
CS,Видеокарты AGP/PCI-Ex,Zotac,ZT-B50700E-10P,"Видеокарта 12GB Zotac GeForce RTX5070 Twin Edge (28000MHz, GDDR7, 192bit, HDMI/3xDP)",274500,AMD,19,NO,16989
CS,Видеокарты AGP/PCI-Ex,Zotac,ZT-B50620E-10M,"Видеокарта 16GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",215600,AMD,6,NO,16987
CS,Видеокарты AGP/PCI-Ex,Zotac,ZT-B50710D3-10P,"Видеокарта 16GB Zotac GeForce RTX5070 Ti SOLID SFF (28000MHz, GDDR7, 192bit, HDMI/3xDP)",392700,AMD,3,NO,16990
CS,Видеокарты AGP/PCI-Ex,Arktek,AKN730D3S2GL1,"Видеокарта 2GB Arktek GeForce GT730 AKN730D3S2GL1 (810MHz, DDR3, 128bit, LP, VGA/DVI-I/HDMI)",19600,AMD,50,NO,13824
CS,Видеокарты AGP/PCI-Ex,Arktek,AKN740D3S2GL1,"Видеокарта 2GB Arktek GeForce GT740 AKN740D3S2GL1 (5000MHz, GDDR3, 128bit, VGA/DVI/HDMI)",19000,AMD,90,NO,15533
